model,repeat,fold,roc_auc,pr_auc
node2vec,0,0,0.6821581766022005,0.11623201912238156
node2vec,0,1,0.6756848001754963,0.13098870652356873
node2vec,0,2,0.6869068772400482,0.14872981642337657
node2vec,0,3,0.6803671502210947,0.14185526960561726
node2vec,0,4,0.6911332106140493,0.15602691056734988
node2vec,1,0,0.6915266563420736,0.14239203204304823
node2vec,1,1,0.6832109473827811,0.15327027513493682
node2vec,1,2,0.6780505224953561,0.12580720861347283
node2vec,1,3,0.6901925579392267,0.1466639663497929
node2vec,1,4,0.6755857618111009,0.12493947171178117
node2vec,2,0,0.6847536845902624,0.14512265380215172
node2vec,2,1,0.6917964412094001,0.12334575837634272
node2vec,2,2,0.676776645618364,0.12593483142361014
node2vec,2,3,0.6759774099952114,0.14696109688843298
node2vec,2,4,0.6899790327918842,0.15620169039414675
