model,repeat,fold,roc_auc,pr_auc
mf,0,0,0.8243975770812416,0.24464242136600584
mf,0,1,0.80962840895894,0.26049978757875675
mf,0,2,0.8089218541777929,0.26924349124832453
mf,0,3,0.8050161883718522,0.26403897684844563
mf,0,4,0.8115967149390708,0.28920134084071375
mf,1,0,0.8130509979350421,0.2717867599943561
mf,1,1,0.8084942901608835,0.2825185411504532
mf,1,2,0.8114079507794769,0.2483686219854489
mf,1,3,0.815233220736067,0.27910751440888115
mf,1,4,0.8085864506911675,0.2416888039808779
mf,2,0,0.8119146334588899,0.2775932047248729
mf,2,1,0.8222651176079364,0.2506467929271685
mf,2,2,0.8007772471448151,0.2388077762868046
mf,2,3,0.7995933917258038,0.26753735133831846
mf,2,4,0.8181845779969357,0.29296827883074267
mf,3,0,0.8010761610931589,0.2702957149646776
mf,3,1,0.8206808826760658,0.2663581373999638
mf,3,2,0.8181480712083478,0.2680825258131841
mf,3,3,0.8179257930799908,0.24999186654785405
mf,3,4,0.798121103809591,0.2711960217139531
mf,4,0,0.8106495451194083,0.25780373203206747
mf,4,1,0.8261039664851939,0.26989163983070613
mf,4,2,0.8128158281018851,0.2808246413400009
mf,4,3,0.8001048763457642,0.252793246950002
mf,4,4,0.8063416150927576,0.2627786642746388
