model,stat,roc_auc,pr_auc
disease_mean,mean,0.8729695587219982,0.4660056168228129
disease_mean,std,0.004059748215071821,0.0222517663378655
mf,mean,0.8112414585911232,0.26514663417508877
mf,std,0.007900034763888985,0.014481560721070331
ot_score,mean,0.9135875255590562,0.45509778063265793
ot_score,std,0.004724494899365982,0.029669994639201218
target_mean,mean,0.5,0.10202693592836826
target_mean,std,0.0,0.008389415839061158
tfidf,mean,0.5126145877163931,0.10619719942562326
tfidf,std,0.01594720803378027,0.009183630794597926
