model,repeat,fold,roc_auc,pr_auc
ot_score,0,0,0.9085886341106875,0.38488923794141083
ot_score,0,1,0.9190239467386229,0.4666099340003175
ot_score,0,2,0.9146950242100115,0.47552396384062645
ot_score,0,3,0.9192046048718925,0.4848376026879401
ot_score,0,4,0.9061401090843477,0.46322338750749964
ot_score,1,0,0.9217382720305428,0.48818988235212335
ot_score,1,1,0.9099806561979599,0.4727873896977087
ot_score,1,2,0.9151446873985656,0.4382170463649466
ot_score,1,3,0.9118572779345396,0.4552205934340392
ot_score,1,4,0.908322527980428,0.41460703362534584
ot_score,2,0,0.9087328077124027,0.45671399175093796
ot_score,2,1,0.9159394944733072,0.41708676024313046
ot_score,2,2,0.9187412375979339,0.4454838368663039
ot_score,2,3,0.913068344671544,0.48233344054130306
ot_score,2,4,0.9117823902598658,0.4788670488933143
ot_score,3,0,0.9156792711606796,0.4867434401395606
ot_score,3,1,0.912161745475484,0.43714704692581685
ot_score,3,2,0.9062749493956693,0.4224477466009146
ot_score,3,3,0.9151587074777952,0.4290216960421912
ot_score,3,4,0.918804205992805,0.5000329590753685
ot_score,4,0,0.9080746091890758,0.4281974906022645
ot_score,4,1,0.9085453994083075,0.4200293897941059
ot_score,4,2,0.9130388864021849,0.4680006249959259
ot_score,4,3,0.9211776827612352,0.4825735971892209
ot_score,4,4,0.9178126664405166,0.4786593747041305
