model,repeat,fold,roc_auc,pr_auc
target_mean,0,0,0.5,0.08516150329752345
target_mean,0,1,0.5,0.09824264403252235
target_mean,0,2,0.5,0.10862259310971847
target_mean,0,3,0.5,0.10588325889419374
target_mean,0,4,0.5,0.11229362910903504
target_mean,1,0,0.5,0.10233908097240996
target_mean,1,1,0.5,0.11334911279219072
target_mean,1,2,0.5,0.0936594431145269
target_mean,1,3,0.5,0.10571136430032135
target_mean,1,4,0.5,0.09319540895061729
target_mean,2,0,0.5,0.10665287622060658
target_mean,2,1,0.5,0.0878341516639389
target_mean,2,2,0.5,0.09341122109151039
target_mean,2,3,0.5,0.1105920917844704
target_mean,2,4,0.5,0.113883506662976
target_mean,3,0,0.5,0.11214429118337953
target_mean,3,1,0.5,0.0960823126179026
target_mean,3,2,0.5,0.09907201984780171
target_mean,3,3,0.5,0.09197715367997396
target_mean,3,4,0.5,0.11159227957439874
target_mean,4,0,0.5,0.09818406126348414
target_mean,4,1,0.5,0.09635651687488346
target_mean,4,2,0.5,0.10605326876513317
target_mean,4,3,0.5,0.1015122214120407
target_mean,4,4,0.5,0.10686738699364655
