model,repeat,fold,roc_auc,pr_auc
tfidf,0,0,0.49951471576154594,0.08390931765135809
tfidf,0,1,0.5029289056899701,0.10071755107078872
tfidf,0,2,0.5222937062946772,0.11518516791702692
tfidf,0,3,0.5304974772944203,0.11706383209929164
tfidf,0,4,0.5068252249632176,0.1149472497965354
tfidf,1,0,0.5003219905843979,0.10194079558608182
tfidf,1,1,0.5148729771850709,0.11806565116287292
tfidf,1,2,0.5278368143785457,0.10049231108923361
tfidf,1,3,0.5341925128132611,0.11812974979435047
tfidf,1,4,0.48182314764301726,0.09045589742206439
tfidf,2,0,0.5098883161145308,0.1094643694967351
tfidf,2,1,0.5281037282820297,0.09653760661726009
tfidf,2,2,0.5090670739810699,0.09802729977704644
tfidf,2,3,0.5016810465240171,0.109249300249989
tfidf,2,4,0.5178149075768168,0.11954552575914465
tfidf,3,0,0.5057567226643451,0.11404123357308207
tfidf,3,1,0.5531110061261462,0.11009737544739939
tfidf,3,2,0.4861390569279208,0.09877191981950137
tfidf,3,3,0.515723386475564,0.09722814223965988
tfidf,3,4,0.5018846374271799,0.11138982288078467
tfidf,4,0,0.5097686226295984,0.10158727442888481
tfidf,4,1,0.5256683208537178,0.1035533582289962
tfidf,4,2,0.510262812832781,0.1081013637645689
tfidf,4,3,0.5250089848515693,0.10938167201116089
tfidf,4,4,0.4943785970344179,0.10704619775676427
