axis,stratum,model,n_diseases,n_pairs,n_positives,Hit@1,Hit@5,Hit@10,MRR,pair_ROC,pair_PR
therapeutic_area,MONDO_0045024,OTRec,535,71805,7324,0.5962616822429907,0.8299065420560747,0.8953271028037383,0.7042826260065657,0.8179415873469592,0.40823453037674023
therapeutic_area,MONDO_0045024,OTTree,535,71805,7324,0.48785046728971965,0.7401869158878505,0.8373831775700935,0.6045863870402725,0.752146871388183,0.2803792885390979
therapeutic_area,MONDO_0045024,TargetMean,535,71805,7324,0.49906542056074765,0.7009345794392523,0.77196261682243,0.595636959590125,0.816556379831396,0.45936721107908385
therapeutic_area,OTAR_0000018,OTRec,403,42763,4841,0.4640198511166253,0.7667493796526055,0.8511166253101737,0.5929145146153683,0.807489584318483,0.3595122409774344
therapeutic_area,OTAR_0000018,OTTree,403,42763,4841,0.3970223325062035,0.6898263027295285,0.8138957816377171,0.525053514409312,0.7673368914400787,0.30280012338332796
therapeutic_area,OTAR_0000018,TargetMean,403,42763,4841,0.38461538461538464,0.6277915632754343,0.7245657568238213,0.4969590703048031,0.8465143980891816,0.509575752591246
therapeutic_area,EFO_0000618,OTRec,308,37220,3892,0.44805194805194803,0.7207792207792207,0.8409090909090909,0.5693149687311417,0.815360859844461,0.34782751549344193
therapeutic_area,EFO_0000618,OTTree,308,37220,3892,0.44155844155844154,0.6883116883116883,0.814935064935065,0.5508818698830639,0.7870547802550771,0.3200627448899288
therapeutic_area,EFO_0000618,TargetMean,308,37220,3892,0.4512987012987013,0.6396103896103896,0.75,0.5485624877491843,0.8621777467436929,0.4947733553228258
therapeutic_area,OTAR_0000006,OTRec,193,19150,1891,0.44559585492227977,0.7305699481865285,0.8134715025906736,0.5671513650214126,0.812612241119824,0.37555577632195775
therapeutic_area,OTAR_0000006,OTTree,193,19150,1891,0.41450777202072536,0.6683937823834197,0.772020725388601,0.5261757694176652,0.7722335198070618,0.32757827327041456
therapeutic_area,OTAR_0000006,TargetMean,193,19150,1891,0.36787564766839376,0.5751295336787565,0.689119170984456,0.4704462420026986,0.8278099311852837,0.5003342502714786
therapeutic_area,EFO_0010282,OTRec,186,26277,2656,0.5376344086021505,0.8172043010752689,0.9086021505376344,0.6691005410964712,0.8346823988940819,0.4080388626706946
therapeutic_area,EFO_0010282,OTTree,186,26277,2656,0.46236559139784944,0.7204301075268817,0.8333333333333334,0.5890238175128815,0.7809648589701934,0.2873931345982459
therapeutic_area,EFO_0010282,TargetMean,186,26277,2656,0.44623655913978494,0.6935483870967742,0.7741935483870968,0.5576202707421009,0.8256953000393259,0.4718371447327377
therapeutic_area,EFO_0000540,OTRec,177,21014,1753,0.423728813559322,0.672316384180791,0.768361581920904,0.5395080474347417,0.8250693856775688,0.34371616250207937
therapeutic_area,EFO_0000540,OTTree,177,21014,1753,0.3559322033898305,0.6101694915254238,0.6892655367231638,0.46976782075542456,0.7879757140428982,0.34129457468076346
therapeutic_area,EFO_0000540,TargetMean,177,21014,1753,0.3389830508474576,0.5423728813559322,0.6214689265536724,0.43885434487515895,0.8048339214405837,0.4507263241255324
therapeutic_area,EFO_0001379,OTRec,172,21833,2137,0.47674418604651164,0.7383720930232558,0.8255813953488372,0.5967454690041961,0.8027194807018958,0.3739738447010704
therapeutic_area,EFO_0001379,OTTree,172,21833,2137,0.43023255813953487,0.6802325581395349,0.7325581395348837,0.5430562486358754,0.7628216319027221,0.29515865261289015
therapeutic_area,EFO_0001379,TargetMean,172,21833,2137,0.36046511627906974,0.5988372093023255,0.6686046511627907,0.4770810004411242,0.8066552757743627,0.42313806601235665
therapeutic_area,EFO_0005803,OTRec,168,18362,2013,0.4642857142857143,0.7261904761904762,0.8035714285714286,0.5787174365827203,0.7399424384962177,0.2702549532438399
therapeutic_area,EFO_0005803,OTTree,168,18362,2013,0.36904761904761907,0.6369047619047619,0.7619047619047619,0.49334601391066746,0.6922857259971176,0.21724468442569167
therapeutic_area,EFO_0005803,TargetMean,168,18362,2013,0.3869047619047619,0.6130952380952381,0.7023809523809523,0.49037483559915834,0.8215037481764579,0.506928716321353
therapeutic_area,EFO_0000319,OTRec,135,16072,916,0.3333333333333333,0.6074074074074074,0.7851851851851852,0.4703647245929254,0.7956105123887698,0.2600782850540659
therapeutic_area,EFO_0000319,OTTree,135,16072,916,0.362962962962963,0.6222222222222222,0.7703703703703704,0.4744725031953185,0.7917896957522408,0.3317658028370474
therapeutic_area,EFO_0000319,TargetMean,135,16072,916,0.34074074074074073,0.5851851851851851,0.674074074074074,0.44009301016446867,0.7878965238953026,0.322960151165265
therapeutic_area,OTAR_0000017,OTRec,129,15651,1493,0.5813953488372093,0.8062015503875969,0.8837209302325582,0.6882233431223787,0.8199347342739064,0.4238933378388987
therapeutic_area,OTAR_0000017,OTTree,129,15651,1493,0.46511627906976744,0.7131782945736435,0.7829457364341085,0.5754712820177261,0.7525261977375797,0.28446949018493395
therapeutic_area,OTAR_0000017,TargetMean,129,15651,1493,0.46511627906976744,0.6589147286821705,0.7286821705426356,0.5606616072696989,0.8405565852492212,0.5075405871052051
known_targets_2022,0 known (orphan),OTRec,610,53358,8181,0.5721311475409836,0.8131147540983606,0.898360655737705,0.6776381274875216,0.8996297405895122,0.6866701330227294
known_targets_2022,0 known (orphan),OTTree,610,53358,8181,0.559016393442623,0.8,0.8868852459016393,0.6623893114698732,0.8795397706586123,0.6363807965209086
known_targets_2022,0 known (orphan),TargetMean,610,53358,8181,0.5377049180327869,0.7524590163934426,0.8163934426229508,0.6358214782502256,0.8678044805806231,0.626680771062083
known_targets_2022,1-2 known,OTRec,106,8875,823,0.42452830188679247,0.8018867924528302,0.8962264150943396,0.5903647333727764,0.809190142566634,0.3122900178900094
known_targets_2022,1-2 known,OTTree,106,8875,823,0.5,0.7641509433962265,0.8773584905660378,0.6226730105522097,0.8274360641251066,0.29520713087418654
known_targets_2022,1-2 known,TargetMean,106,8875,823,0.37735849056603776,0.6981132075471698,0.8490566037735849,0.5220603191030864,0.8467820648168437,0.4385166924858171
known_targets_2022,3-10 known,OTRec,142,12083,849,0.36619718309859156,0.6408450704225352,0.7816901408450704,0.5094737049053961,0.8907069087971837,0.4878198520871497
known_targets_2022,3-10 known,OTTree,142,12083,849,0.352112676056338,0.6267605633802817,0.7323943661971831,0.47389798852593873,0.8901848733222573,0.5553745406103507
known_targets_2022,3-10 known,TargetMean,142,12083,849,0.323943661971831,0.528169014084507,0.647887323943662,0.4220442216961623,0.8379489803899614,0.4080636963235786
known_targets_2022,>10 known,OTRec,597,101448,6221,0.37018425460636517,0.6499162479061976,0.7638190954773869,0.5011222779296476,0.8298340700189402,0.2503305269541354
known_targets_2022,>10 known,OTTree,597,101448,6221,0.2747068676716918,0.5376884422110553,0.6800670016750419,0.40347037661119833,0.8101022028992435,0.28172284770872674
known_targets_2022,>10 known,TargetMean,597,101448,6221,0.2948073701842546,0.5041876046901173,0.6164154103852596,0.40237175034672146,0.7753983604320573,0.2975381521178862
target_annotation_volume,Q1 (<=22),OTRec,1310,33332,4373,0.5566298342541437,0.8080110497237569,0.8950276243093923,0.6702240893978587,0.8275615216248349,0.40628180735431974
target_annotation_volume,Q1 (<=22),OTTree,1310,33332,4373,0.5138121546961326,0.7886740331491713,0.861878453038674,0.6360771094950094,0.7783779676301309,0.37677004992370305
target_annotation_volume,Q1 (<=22),TargetMean,1310,33332,4373,0.47651933701657456,0.7375690607734806,0.8287292817679558,0.5938040648100931,0.8733438019372854,0.6198644369493206
target_annotation_volume,Q2 (22-33],OTRec,1360,34949,3557,0.5599051008303677,0.8813760379596679,0.9537366548042705,0.6974664323383436,0.7896418656755554,0.3333177582565957
target_annotation_volume,Q2 (22-33],OTTree,1360,34949,3557,0.4875444839857651,0.8066429418742586,0.9134045077105575,0.6281861674348324,0.7279040452889407,0.2379532916735823
target_annotation_volume,Q2 (22-33],TargetMean,1360,34949,3557,0.465005931198102,0.7793594306049823,0.8695136417556346,0.6100278576096536,0.8241431296044583,0.40675308076371075
target_annotation_volume,Q3 (33-55],OTRec,1382,40803,3916,0.5614035087719298,0.847953216374269,0.9239766081871345,0.6837748952641067,0.8077910720516759,0.39259934915771083
target_annotation_volume,Q3 (33-55],OTTree,1382,40803,3916,0.5567251461988304,0.8116959064327486,0.904093567251462,0.671386331611898,0.766453259662554,0.2997958574669353
target_annotation_volume,Q3 (33-55],TargetMean,1382,40803,3916,0.5403508771929825,0.7625730994152047,0.8502923976608188,0.643378971724619,0.8326417478851362,0.4417257592727756
target_annotation_volume,Q4 (>55),OTRec,1401,66680,4228,0.4873417721518987,0.7943037974683544,0.8860759493670886,0.6239610757089912,0.7962272148946057,0.24766327215841974
target_annotation_volume,Q4 (>55),OTTree,1401,66680,4228,0.4873417721518987,0.7742616033755274,0.8607594936708861,0.6138553907301585,0.7598859916847548,0.17556509898875222
target_annotation_volume,Q4 (>55),TargetMean,1401,66680,4228,0.43143459915611815,0.689873417721519,0.7848101265822784,0.5528837910554202,0.753594554373672,0.22639045438444677
