family,size,obs_overlap,null_mean,excess,p,q
1-acylglycerol-3-phosphate O-acyltransferases,11,24.145454545454545,14.726892727272727,9.405456375624139,9.999000099990002e-05,0.0003270506282705063
"5-hydroxytryptamine receptors, G protein-coupled",12,17.40909090909091,14.767303030303031,2.6690927392605044,0.14078592140785923,0.18574277026078906
7BS 2'O-ribose DNA/RNA methyltransferases,10,18.822222222222223,14.727355555555556,4.082224052391817,0.0575942405759424,0.08530467707946185
7BS DNA/RNA methyltransferases,10,23.955555555555556,14.727355555555556,9.21555738572515,9.999000099990002e-05,0.0003270506282705063
7BS N6-adenosine DNA/RNA methyltransferases,10,18.333333333333332,14.727355555555556,3.5933351635029265,0.0871912808719128,0.1218608109515458
7BS protein arginine methyltranferases,11,17.527272727272727,14.726892727272727,2.7872745574423217,0.14328567143285673,0.18798760792444436
7BS protein lysine methyltransferases,14,20.681318681318682,14.722531868131869,5.941320511488277,0.0018998100189981002,0.004407933590877365
7BS small molecule methyltransferases,17,20.125,14.779256617647057,5.385001830169594,0.0026997300269973002,0.005997985107149662
7TM uncharacterized proteins,12,19.636363636363637,14.767303030303031,4.896365466533231,0.016998300169983,0.02921970576664961
A-kinase anchoring proteins,26,17.024615384615384,14.72952523076923,2.284617214784978,0.0771922807719228,0.10979444224252274
AAA ATPases,51,12.665098039215687,14.748269490196078,-2.0749001306147186,0.9611038896110389,0.9905468971702392
ADAM metallopeptidase domain containing,20,19.189473684210526,14.754617368421052,4.44947551438012,0.0044995500449955,0.009134862375831382
ADAM metallopeptidases with thrombospondin type 1 motif,18,18.679738562091504,14.752633986928105,3.9397403922610987,0.017598240175982403,0.02981572346362486
AH/BAR family Rho GTPase activating proteins,14,18.021978021978022,14.722531868131869,3.2819798521476162,0.0644935506449355,0.0941905809419058
ARF GTPase family,28,15.126984126984127,14.730795238095236,0.38698595715372086,0.40755924407559246,0.4763285458054691
AT-rich interaction domain containing,14,17.65934065934066,14.722531868131869,2.919342489510255,0.0912908709129087,0.1268377587020059
ATAC complex,12,17.363636363636363,14.767303030303031,2.6236381938059576,0.14578542145785423,0.19020757204057986
ATP binding cassette subfamily A,12,21.727272727272727,14.767303030303031,6.987274557442321,0.0006999300069993001,0.0018625256118455953
ATP binding cassette subfamily B,11,18.181818181818183,14.726892727272727,3.4418200119877778,0.08499150084991501,0.11949551313525365
ATP binding cassette subfamily C,12,17.46969696969697,14.767303030303031,2.729698799866563,0.1346865313468653,0.178696778209503
ATP-grasp fold containing,13,13.128205128205128,14.771805128205129,-1.611793041625278,0.7599240075992401,0.8171785561169911
ATPase phospholipid transporting,21,22.676190476190477,14.737235714285713,7.936192306360072,9.999000099990002e-05,0.0003270506282705063
Abhydrolase domain containing,24,17.894927536231883,14.73442427536232,3.1549293664014773,0.033596640335966405,0.05257148703734278
