Model,seed,ROC-AUC,PR-AUC
Target Mean Baseline,deterministic,0.8324864526018281,0.2987767360644544
TF-IDF cosine,deterministic,0.5119450226409175,0.04185937038657269
Disease Mean Baseline,deterministic,0.5939731048690047,0.051880742164167534
Open Targets Score,deterministic,0.5586678720755341,0.08226213937068544
OTRec,43,0.8679522063655888,0.2854433043914626
OTTree (CatBoost),43,0.8563394201060004,0.22515541001889194
Matrix Factorization,43,0.5524728309217662,0.04993921893090213
OTRec,44,0.8800660850108097,0.28805099863604733
OTTree (CatBoost),44,0.8542689719079687,0.2160094617032554
Matrix Factorization,44,0.5526925731951531,0.049922733936439714
OTRec,45,0.8692558937177078,0.3023658894835277
OTTree (CatBoost),45,0.849063999130977,0.2195291363053805
Matrix Factorization,45,0.5526532907489973,0.04990569124180938
OTRec,46,0.8751803178212809,0.28277472576426005
OTTree (CatBoost),46,0.8544227972213675,0.22365490699674398
Matrix Factorization,46,0.5525925487687153,0.04995475840756576
