Model,seed,ROC-AUC,PR-AUC
Disease Mean Baseline,deterministic,0.5939731048690047,0.0518807421641675
Matrix Factorization,42,0.5525717184165827,0.0499084313442372
Matrix Factorization,43,0.5524728309217662,0.0499392189309021
Matrix Factorization,44,0.5526925731951531,0.0499227339364397
Matrix Factorization,45,0.5526532907489973,0.0499056912418093
Matrix Factorization,46,0.5525925487687153,0.0499547584075657
OTRec,42,0.8697704229040317,0.2808264896023115
OTRec,43,0.8679522063655888,0.2854433043914626
OTRec,44,0.8800660850108097,0.2880509986360473
OTRec,45,0.8692558937177078,0.3023658894835277
OTRec,46,0.8751803178212809,0.28277472576426
OTTree (CatBoost),42,0.859944925460307,0.2289653648949084
OTTree (CatBoost),43,0.8563394201060004,0.2251554100188919
OTTree (CatBoost),44,0.8542689719079687,0.2160094617032554
OTTree (CatBoost),45,0.849063999130977,0.2195291363053805
OTTree (CatBoost),46,0.8544227972213675,0.2236549069967439
Open Targets Score,deterministic,0.5586678720755341,0.0822621393706854
TF-IDF cosine,deterministic,0.5119450226409175,0.0418593703865726
Target Mean Baseline,deterministic,0.8324864526018281,0.2987767360644544
