entity,field,cov_22_02,cov_newer,delta
target,go,0.33986736883167545,0.26706551838020476,-0.0728018504514707
target,pathways,0.17298940250958975,0.14445037217691742,-0.028539030332672327
target,targetClass,0.07345101098758208,0.06259685491451362,-0.010854156073068458
target,functionDescriptions,0.2690819842663026,0.21677717653634124,-0.05230480772996135
target,tractability,0.3164456147194591,0.23975560805832888,-0.07669000666113021
target,synonyms,0.596255119953189,0.5066051876127328,-0.08964993234045626
target,constraint,0.3107080163838502,0.24241038538729265,-0.06829763099655756
target,subcellularLocations,0.3057018399323841,0.24130528669054696,-0.06439655324183713
disease,name,1.0,1.0,0.0
disease,description,0.832521117608837,0.8806950897096948,0.04817397210085783
disease,synonyms,0.7659735759150964,1.0,0.2340264240849036
disease,ancestors,0.9987546025557722,0.9993582997510203,0.0006036971952481096
disease,parents,0.9987546025557722,0.9993582997510203,0.0006036971952481096
disease,therapeuticAreas,1.0,1.0,0.0
disease,dbXRefs,0.895982239549491,0.7908570548525373,-0.10512518469695364
