family,size,obs_overlap,null_mean,excess,p,q
Tubulin beta family,10,345.8,3.701064444444444,342.09893555555556,9.999000099990002e-05,0.00052267500522675
DNA polymerases,9,275.0,3.699986111111111,271.3000138888889,9.999000099990002e-05,0.00052267500522675
Sodium voltage-gated channel alpha subunits,9,224.33333333333334,3.699986111111111,220.63334722222223,9.999000099990002e-05,0.00052267500522675
Mitochondrially encoded protein coding genes,7,172.0,3.7623428571428574,168.23765714285713,9.999000099990002e-05,0.00052267500522675
NADH:ubiquinone oxidoreductase supernumerary subunits,30,172.0,3.7962901149425283,168.20370988505746,9.999000099990002e-05,0.00052267500522675
NADH:ubiquinone oxidoreductase core subunits,14,172.0,3.8437967032967033,168.1562032967033,9.999000099990002e-05,0.00052267500522675
Gamma-aminobutyric acid type A receptor subunits,16,127.41666666666667,3.7819225,123.63474416666668,9.999000099990002e-05,0.00052267500522675
Glutamate ionotropic receptor NMDA type subunits,7,121.04761904761905,3.7623428571428574,117.2852761904762,9.999000099990002e-05,0.00052267500522675
Adrenoceptors,9,113.0,3.699986111111111,109.30001388888888,9.999000099990002e-05,0.00052267500522675
Src family tyrosine kinases,9,106.63888888888889,3.699986111111111,102.93890277777777,9.999000099990002e-05,0.00052267500522675
Tubulin alpha family,6,81.0,3.8048800000000003,77.19512,9.999000099990002e-05,0.00052267500522675
Protein kinase C family,9,71.0,3.699986111111111,67.30001388888888,9.999000099990002e-05,0.00052267500522675
C2 domain containing protein kinases,7,71.0,3.7623428571428574,67.23765714285715,0.00019998000199980003,0.000999900009999
Phosphodiesterases,23,70.62450592885375,3.8334003952569167,66.79110553359683,9.999000099990002e-05,0.00052267500522675
Somatostatin receptors,5,67.1,3.7082900000000003,63.391709999999996,0.00029997000299970003,0.0014373562643735626
EPH receptors,14,60.043956043956044,3.8437967032967033,56.20015934065934,9.999000099990002e-05,0.00052267500522675
Sterile alpha motif domain containing,16,46.041666666666664,3.7819225,42.259744166666664,9.999000099990002e-05,0.00052267500522675
Glutamate ionotropic receptor kainate type subunits,5,42.0,3.7082900000000003,38.29171,0.0021997800219978004,0.010118988101189883
Poly(ADP-ribose) polymerases,5,39.3,3.7082900000000003,35.59171,0.0025997400259974,0.0114988501149885
I-set domain containing,19,35.83040935672515,3.843646783625731,31.98676257309942,9.999000099990002e-05,0.00052267500522675
Gamma-secretase complex subunits,6,33.0,3.8048800000000003,29.19512,0.0032996700329967,0.0140541501405415
