disease,diseaseId,rab_genes_topk,all_genes_topk_pct,enrichment,excess_contribution
oral cavity mucoepidermoid carcinoma,MONDO_0044964,62,0.2594,3.73,0.8707
high grade ovarian serous adenocarcinoma,EFO_1001958,64,0.4297,2.33,0.8153
acute myeloblastic leukemia with maturation,EFO_0003028,62,0.3728,2.6,0.7991
anus cancer,MONDO_0001879,55,0.0619,13.88,0.7328
lethal midline granuloma,EFO_1001013,60,0.3835,2.44,0.7309
non-small cell lung carcinoma,EFO_0003060,50,0.1181,6.61,0.5937
neoplasm of mature T-cells or NK-cells,EFO_0002426,55,0.3821,2.25,0.5906
neoplasm of mature B-cells,EFO_0000096,48,0.1967,3.81,0.5208
HER2 negative breast carcinoma,EFO_0009780,42,0.031,21.14,0.4261
adult acute lymphoblastic leukemia,MONDO_0003541,38,0.0285,20.86,0.3479
therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457,38,0.0612,9.7,0.345
upper aerodigestive tract neoplasm,EFO_0004284,64,0.8324,1.2,0.3071
adult acute myeloid leukemia,EFO_1001934,35,0.0067,81.19,0.2951
Proteus syndrome,MONDO_0008318,35,0.0048,113.86,0.2951
peritoneal neoplasm,EFO_1001100,64,0.8528,1.17,0.2727
male breast carcinoma,EFO_0006861,33,0.0258,20.01,0.2612
"small intestine neuroendocrine tumor, well differentiated, low or intermediate grade",MONDO_0002995,56,0.7188,1.22,0.2472
Ovarian Germ Cell Tumor,EFO_1000419,26,0.0071,57.32,0.1612
childhood acute myeloid leukemia with maturation,EFO_1001945,26,0.0478,8.5,0.1589
extrahepatic bile duct carcinoma,MONDO_0003090,25,0.0037,104.21,0.1488
core binding factor acute myeloid leukemia,EFO_1002001,25,0.0577,6.77,0.1455
adult glioblastoma,MONDO_0020690,57,0.8052,1.11,0.1433
grade II meningioma,MONDO_0045056,27,0.2296,1.84,0.1214
human papillomavirus-related squamous cell carcinoma,MONDO_0020657,23,0.0694,5.18,0.1207
thymus cancer,MONDO_0002586,23,0.0784,4.59,0.1194
lip and oral cavity squamous cell carcinoma,MONDO_0044710,57,0.8254,1.08,0.1104
acute myeloid leukemia with multilineage dysplasia,MONDO_0019456,23,0.1271,2.83,0.1093
pancreatic carcinoma,EFO_0002618,18,0.0417,6.74,0.0742
acute myeloblastic leukemia without maturation,EFO_0003027,17,0.0112,23.74,0.0673
Hereditary breast and ovarian cancer syndrome,Orphanet_145,16,0.0028,88.92,0.0595
ovarian clear cell cystadenocarcinoma,MONDO_0004222,16,0.0374,6.68,0.0581
