gene,disease,diseaseId
RAB18,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB18,urethra cancer,MONDO_0004192
RAB18,childhood acute myeloid leukemia with maturation,EFO_1001945
RAB18,ovarian clear cell cystadenocarcinoma,MONDO_0004222
RAB18,childhood B acute lymphoblastic leukemia,EFO_1001946
RAB18,adult T acute lymphoblastic leukemia,EFO_1001936
RAB18,biliary tract neoplasm,EFO_0003891
RAB18,acute myeloblastic leukemia with maturation,EFO_0003028
RAB18,childhood T acute lymphoblastic leukemia,EFO_1001947
RAB18,adult B acute lymphoblastic leukemia,EFO_1001935
RAB18,upper aerodigestive tract neoplasm,EFO_0004284
RAB18,grade II glioma,MONDO_0021639
RAB18,adult acute lymphoblastic leukemia,MONDO_0003541
RAB18,fallopian tube endometrioid adenocarcinoma,MONDO_0003666
RAB18,refractory hairy cell leukemia,MONDO_0004110
RAB18,pituitary-dependent Cushing's disease,EFO_1001110
RAB18,adult hepatocellular carcinoma,MONDO_0016216
RAB18,core binding factor acute myeloid leukemia,EFO_1002001
RAB18,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB18,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457
RAB18,childhood acute myeloid leukemia,EFO_0000330
RAB18,adult glioblastoma,MONDO_0020690
RAB18,human papillomavirus-related squamous cell carcinoma,MONDO_0020657
RAB18,fallopian tube transitional cell carcinoma,MONDO_0002833
RAB18,refractory malignant neoplasm,MONDO_0036501
RAB18,ureter urothelial carcinoma,EFO_1001973
RAB18,adult oligodendroglioma,MONDO_0002543
RAB18,fallopian tube mucinous adenocarcinoma,MONDO_0002744
RAB18,lethal midline granuloma,EFO_1001013
RAB18,lip and oral cavity squamous cell carcinoma,MONDO_0044710
RAB5B,small intestine lymphoma,MONDO_0001852
RAB5B,therapy related acute myeloid leukemia and myelodysplastic syndrome,MONDO_0019457
RAB5B,pituitary-dependent Cushing's disease,EFO_1001110
RAB5B,upper aerodigestive tract neoplasm,EFO_0004284
RAB5B,biliary tract neoplasm,EFO_0003891
RAB5B,ovarian clear cell cystadenocarcinoma,MONDO_0004222
RAB5B,urethra cancer,MONDO_0004192
RAB5B,Malignant Ovarian Brenner Tumor,EFO_1000357
RAB5B,refractory hairy cell leukemia,MONDO_0004110
RAB5B,adult hepatocellular carcinoma,MONDO_0016216
RAB5B,fallopian tube endometrioid adenocarcinoma,MONDO_0003666
RAB5B,adult acute lymphoblastic leukemia,MONDO_0003541
RAB5B,adult B acute lymphoblastic leukemia,EFO_1001935
RAB5B,adult T acute lymphoblastic leukemia,EFO_1001936
RAB5B,childhood acute lymphoblastic leukemia,MONDO_0000870
RAB5B,acute myeloblastic leukemia with maturation,EFO_0003028
RAB5B,childhood acute myeloid leukemia with maturation,EFO_1001945
RAB5B,fallopian tube clear cell adenocarcinoma,MONDO_0003383
RAB5B,childhood B acute lymphoblastic leukemia,EFO_1001946
RAB5B,childhood T acute lymphoblastic leukemia,EFO_1001947
