diseaseId,disease,n_genes,n_known
EFO_1001348,HIV-Associated Lipodystrophy Syndrome,61,0
EFO_0004284,upper aerodigestive tract neoplasm,60,0
EFO_1001100,peritoneal neoplasm,59,0
EFO_0020003,drug toxicity,57,0
MONDO_0044710,lip and oral cavity squamous cell carcinoma,56,0
EFO_0003028,acute myeloblastic leukemia with maturation,56,0
EFO_1001958,high grade ovarian serous adenocarcinoma,56,0
MONDO_0004111,refractory hematologic cancer,56,0
MONDO_0024327,chronic renal failure syndrome,56,0
EFO_1001013,lethal midline granuloma,54,0
MONDO_0044964,oral cavity mucoepidermoid carcinoma,54,0
MONDO_0002995,"small intestine neuroendocrine tumor, well differentiated, low or intermediate grade",53,0
MONDO_0020690,adult glioblastoma,53,0
EFO_0002426,neoplasm of mature T-cells or NK-cells,50,0
EFO_1000251,Fallopian Tube Carcinoma,50,0
EFO_1001110,pituitary-dependent Cushing's disease,49,0
EFO_0009878,drug interaction,48,0
MONDO_0001879,anus cancer,47,0
EFO_0003060,non-small cell lung carcinoma,44,0
EFO_0000096,neoplasm of mature B-cells,42,0
EFO_0009780,HER2 negative breast carcinoma,40,0
MONDO_0019456,acute myeloid leukemia with multilineage dysplasia,38,0
EFO_1001799,incomplete abortion,38,0
MONDO_0019457,therapy related acute myeloid leukemia and myelodysplastic syndrome,38,0
EFO_0000616,neoplasm,38,0
MONDO_0003541,adult acute lymphoblastic leukemia,37,0
MONDO_0008318,Proteus syndrome,37,0
EFO_1001934,adult acute myeloid leukemia,37,0
EFO_1001945,childhood acute myeloid leukemia with maturation,35,0
EFO_1000419,Ovarian Germ Cell Tumor,34,0
EFO_0006861,male breast carcinoma,34,0
MONDO_0003090,extrahepatic bile duct carcinoma,34,0
EFO_0002618,pancreatic carcinoma,34,0
MONDO_0045056,grade II meningioma,33,0
MONDO_0004222,ovarian clear cell cystadenocarcinoma,33,0
EFO_1002001,core binding factor acute myeloid leukemia,33,0
MONDO_0002158,fallopian tube cancer,33,0
MONDO_0020657,human papillomavirus-related squamous cell carcinoma,32,0
MONDO_0002087,peritoneum cancer,31,0
MONDO_0018521,squamous cell carcinoma of pancreas,30,0
MONDO_0002586,thymus cancer,30,0
EFO_0003027,acute myeloblastic leukemia without maturation,30,0
EFO_1000494,Primary Peritoneal Serous Adenocarcinoma,28,0
Orphanet_145,Hereditary breast and ovarian cancer syndrome,28,0
MONDO_0044787,nasal cavity and paranasal sinus squamous cell carcinoma,28,0
MONDO_0003874,ovarian serous surface papillary adenocarcinoma,27,0
EFO_1001257,acute erythroblastic leukemia,27,0
EFO_0005537,triple-negative breast cancer,26,0
MONDO_0001852,small intestine lymphoma,26,0
EFO_1000131,"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",25,0
MONDO_0003196,appendix carcinoma,25,0
MONDO_0003478,childhood ependymoma,25,0
EFO_0000330,childhood acute myeloid leukemia,25,0
EFO_1001933,adult acute monocytic leukemia,25,0
EFO_1000616,Uveal Melanoma,25,0
MONDO_0040678,infiltrating urothelial carcinoma,24,0
MONDO_0003869,childhood brain stem glioma,24,0
EFO_1001952,endometrial adenosquamous carcinoma,24,0
MONDO_0004180,benign urinary system neoplasm,24,0
EFO_0000304,breast adenocarcinoma,23,0
MONDO_0007254,breast cancer,23,0
MONDO_0008315,prostate cancer,23,0
MONDO_0004992,cancer,22,0
MONDO_0016216,adult hepatocellular carcinoma,22,0
EFO_0007532,uterine corpus cancer,21,0
MONDO_0002833,fallopian tube transitional cell carcinoma,21,0
MONDO_0003666,fallopian tube endometrioid adenocarcinoma,20,0
MONDO_0001187,urinary bladder cancer,20,0
MONDO_0002225,ovarian sarcoma,20,0
EFO_0000233,adenosquamous lung carcinoma,19,0
EFO_0003859,uterine neoplasm,19,0
EFO_1001963,ovarian mucinous cystadenocarcinoma,19,0
EFO_0003891,biliary tract neoplasm,18,0
EFO_0000196,metastatic prostate cancer,17,0
MONDO_0003660,adult lymphoma,17,0
EFO_0003869,breast neoplasm,17,0
EFO_0000198,myelodysplastic syndrome,17,0
MONDO_0021074,precancerous condition,17,0
MONDO_0020077,myelodysplastic/myeloproliferative disease,17,0
MONDO_0850302,intracranial meningioma,16,0
EFO_1001932,adult acute megakaryoblastic leukemia,16,0
EFO_0004289,lymphoid leukemia,16,0
EFO_1001935,adult B acute lymphoblastic leukemia,16,0
EFO_0010580,blastic plasmacytoid dendritic cell neoplasm,16,0
EFO_0000221,acute monocytic leukemia,15,0
MONDO_0008170,ovarian cancer,15,0
