gene,targetId,diseaseId,disease,score,known_clinical
RAB10,ENSG00000084733,MONDO_0000544,mucosal melanoma,0.506,False
RAB10,ENSG00000084733,MONDO_0001187,urinary bladder cancer,0.7179,False
RAB10,ENSG00000084733,MONDO_0001402,vaginal cancer,0.5522,False
RAB10,ENSG00000084733,MONDO_0001852,small intestine lymphoma,0.8066,False
RAB10,ENSG00000084733,MONDO_0001879,anus cancer,0.9682,False
RAB10,ENSG00000084733,MONDO_0002087,peritoneum cancer,0.7545,False
RAB10,ENSG00000084733,MONDO_0002158,fallopian tube cancer,0.7207,False
RAB10,ENSG00000084733,MONDO_0002225,ovarian sarcoma,0.7297,False
RAB10,ENSG00000084733,MONDO_0002586,thymus cancer,0.904,False
RAB10,ENSG00000084733,MONDO_0002833,fallopian tube transitional cell carcinoma,0.6857,False
RAB10,ENSG00000084733,MONDO_0002995,"small intestine neuroendocrine tumor, well differentiated, low or intermediate grade",0.9439,False
RAB10,ENSG00000084733,MONDO_0003033,prostate angiosarcoma,0.53,False
RAB10,ENSG00000084733,MONDO_0003090,extrahepatic bile duct carcinoma,0.7935,False
RAB10,ENSG00000084733,MONDO_0003196,appendix carcinoma,0.6665,False
RAB10,ENSG00000084733,MONDO_0003268,mixed glioma,0.6477,False
RAB10,ENSG00000084733,MONDO_0003383,fallopian tube clear cell adenocarcinoma,0.5124,False
RAB10,ENSG00000084733,MONDO_0003478,childhood ependymoma,0.7787,False
RAB10,ENSG00000084733,MONDO_0003503,fallopian tube squamous cell carcinoma,0.5974,False
RAB10,ENSG00000084733,MONDO_0003541,adult acute lymphoblastic leukemia,0.8885,False
RAB10,ENSG00000084733,MONDO_0003659,pediatric lymphoma,0.6516,False
RAB10,ENSG00000084733,MONDO_0003660,adult lymphoma,0.7627,False
RAB10,ENSG00000084733,MONDO_0003666,fallopian tube endometrioid adenocarcinoma,0.5884,False
RAB10,ENSG00000084733,MONDO_0003856,adult malignant hemangiopericytoma,0.5529,False
RAB10,ENSG00000084733,MONDO_0003869,childhood brain stem glioma,0.7724,False
RAB10,ENSG00000084733,MONDO_0003874,ovarian serous surface papillary adenocarcinoma,0.843,False
RAB10,ENSG00000084733,MONDO_0003890,infiltrating bladder urothelial carcinoma,0.623,False
RAB10,ENSG00000084733,MONDO_0004064,iris melanoma,0.5158,False
RAB10,ENSG00000084733,MONDO_0004111,refractory hematologic cancer,0.8995,False
RAB10,ENSG00000084733,MONDO_0004180,benign urinary system neoplasm,0.8345,False
RAB10,ENSG00000084733,MONDO_0004222,ovarian clear cell cystadenocarcinoma,0.8124,False
RAB10,ENSG00000084733,MONDO_0004992,cancer,0.7266,False
RAB10,ENSG00000084733,MONDO_0005411,gallbladder cancer,0.5636,False
RAB10,ENSG00000084733,MONDO_0007254,breast cancer,0.6945,False
RAB10,ENSG00000084733,MONDO_0008170,ovarian cancer,0.597,False
RAB10,ENSG00000084733,MONDO_0008315,prostate cancer,0.8334,False
RAB10,ENSG00000084733,MONDO_0008318,Proteus syndrome,0.8725,False
RAB10,ENSG00000084733,MONDO_0016216,adult hepatocellular carcinoma,0.8035,False
RAB10,ENSG00000084733,MONDO_0017346,Epstein-Barr virus-positive diffuse large B-cell lymphoma of the elderly,0.5635,False
RAB10,ENSG00000084733,MONDO_0018521,squamous cell carcinoma of pancreas,0.7131,False
RAB10,ENSG00000084733,MONDO_0019456,acute myeloid leukemia with multilineage dysplasia,0.8475,False
RAB10,ENSG00000084733,MONDO_0019457,therapy related acute myeloid leukemia and myelodysplastic syndrome,0.8922,False
RAB10,ENSG00000084733,MONDO_0020077,myelodysplastic/myeloproliferative disease,0.6527,False
RAB10,ENSG00000084733,MONDO_0020657,human papillomavirus-related squamous cell carcinoma,0.9042,False
RAB10,ENSG00000084733,MONDO_0020690,adult glioblastoma,0.9462,False
RAB10,ENSG00000084733,MONDO_0021063,malignant colon neoplasm,0.5861,False
RAB10,ENSG00000084733,MONDO_0021074,precancerous condition,0.672,False
