gene_a,gene_b,shared_top50,excess_vs_null,null_percentile
RAB25,RAB4B,29,14.2,100.0
RAB17,RAB4A,28,13.2,99.9
RAB4B,RAB24,28,13.2,99.9
RAB25,RAB24,28,13.2,99.9
RAB27B,RAB8A,28,13.2,99.9
RAB3C,RAB28,27,12.2,99.6
RAB3C,RAB24,27,12.2,99.6
RAB3C,RAB37,27,12.2,99.6
RAB4B,RAB4A,27,12.2,99.6
RAB1A,RAB8A,27,12.2,99.6
RAB33A,RAB8B,27,12.2,99.6
RAB28,RAB42,27,12.2,99.6
RAB32,RAB38,27,12.2,99.6
RAB3D,RAB34,27,12.2,99.6
RAB1B,RAB6A,27,12.2,99.6
RAB17,RAB28,27,12.2,99.6
RAB3B,RAB42,27,12.2,99.6
RAB17,RAB3C,27,12.2,99.6
RAB9B,RAB31,27,12.2,99.6
RAB20,RAB3C,26,11.2,98.6
RAB3B,RAB6D,26,11.2,98.6
RAB28,RAB3B,26,11.2,98.6
RAB28,RAB6D,26,11.2,98.6
RAB3C,RAB4B,26,11.2,98.6
RAB9A,RAB1B,26,11.2,98.6
RAB21,RAB10,26,11.2,98.6
RAB9A,RAB6A,26,11.2,98.6
RAB3C,RAB42,26,11.2,98.6
RAB3C,RAB3B,26,11.2,98.6
RAB42,RAB6D,26,11.2,98.6
RAB40C,RAB6C,26,11.2,98.6
RAB10,RAB13,26,11.2,98.6
RAB38,RAB39A,26,11.2,98.6
RAB17,RAB4B,26,11.2,98.6
RAB17,RAB42,26,11.2,98.6
RAB29,RAB1A,26,11.2,98.6
RAB29,RAB8A,26,11.2,98.6
RAB36,RAB41,26,11.2,98.6
RAB17,RAB25,26,11.2,98.6
RAB22A,RAB1A,26,11.2,98.6
RAB28,RAB4A,26,11.2,98.6
RAB10,RAB14,26,11.2,98.6
RAB25,RAB4A,26,11.2,98.6
RAB18,RAB31,26,11.2,98.6
RAB25,RAB3C,26,11.2,98.6
RAB26,RAB43,26,11.2,98.6
RAB24,RAB37,26,11.2,98.6
RAB27B,RAB1A,26,11.2,98.6
RAB22A,RAB8A,26,11.2,98.6
RAB34,RAB40B,25,10.2,96.8
RAB4A,RAB6D,25,10.2,96.8
RAB38,RAB8A,25,10.2,96.8
RAB5C,RAB5B,25,10.2,96.8
RAB3D,RAB3B,25,10.2,96.8
RAB27B,RAB32,25,10.2,96.8
RAB27B,RAB38,25,10.2,96.8
RAB6C,RAB6D,25,10.2,96.8
RAB3D,RAB6D,25,10.2,96.8
RAB17,RAB3B,25,10.2,96.8
RAB21,RAB13,25,10.2,96.8
RAB17,RAB39A,25,10.2,96.8
RAB25,RAB28,25,10.2,96.8
RAB25,RAB6D,25,10.2,96.8
RAB25,RAB37,25,10.2,96.8
RAB4B,RAB37,25,10.2,96.8
RAB17,RAB6D,25,10.2,96.8
CRACR2A,RAB8A,25,10.2,96.8
RAB27A,RAB39A,25,10.2,96.8
RAB32,RAB3B,25,10.2,96.8
RAB32,RAB28,25,10.2,96.8
RAB32,RAB39A,25,10.2,96.8
RAB23,RAB39A,25,10.2,96.8
RAB11A,RAB11B,25,10.2,96.8
RAB11A,RAB33B,25,10.2,96.8
RAB29,RAB43,25,10.2,96.8
RAB25,RAB3B,25,10.2,96.8
RAB32,RAB8A,25,10.2,96.8
RAB14,RAB2B,25,10.2,96.8
RAB32,RAB6C,25,10.2,96.8
RAB32,RAB6D,25,10.2,96.8
RAB17,RAB24,25,10.2,96.8
RAB36,RAB33A,25,10.2,96.8
RAB28,RAB4B,25,10.2,96.8
RAB3C,RAB39A,25,10.2,96.8
RAB28,RAB39A,25,10.2,96.8
RAB18,RAB5B,25,10.2,96.8
RAB18,RAB9B,25,10.2,96.8
RAB20,RAB37,25,10.2,96.8
RAB20,RAB28,25,10.2,96.8
RAB10,RAB24,25,10.2,96.8
RAB29,RAB22A,25,10.2,96.8
RAB5B,RAB31,25,10.2,96.8
RAB35,RAB31,25,10.2,96.8
RAB20,RAB24,25,10.2,96.8
RAB23,RAB43,25,10.2,96.8
RAB28,RAB24,25,10.2,96.8
RAB8A,RAB43,25,10.2,96.8
RAB9A,RAB31,25,10.2,96.8
RAB38,RAB3B,25,10.2,96.8
RAB38,RAB43,25,10.2,96.8
RAB38,RAB28,25,10.2,96.8
RAB4A,RAB42,25,10.2,96.8
RAB10,RAB17,25,10.2,96.8
RAB3C,RAB4A,25,10.2,96.8
RAB38,RAB42,25,10.2,96.8
RAB27B,RAB43,25,10.2,96.8
RAB5B,RAB35,25,10.2,96.8
RAB4A,RAB24,25,10.2,96.8
RAB31,RAB1B,25,10.2,96.8
RAB31,RAB6A,25,10.2,96.8
RAB4A,RAB39A,25,10.2,96.8
RAB43,RAB6D,24,9.2,93.7
RAB27B,RAB7A,24,9.2,93.7
RAB27B,RAB29,24,9.2,93.7
RAB5C,RAB35,24,9.2,93.7
RAB34,RAB3B,24,9.2,93.7
RAB27B,RAB3D,24,9.2,93.7
RAB34,RAB40C,24,9.2,93.7
RAB3D,RAB32,24,9.2,93.7
RAB2A,RAB4A,24,9.2,93.7
RAB2A,RAB43,24,9.2,93.7
RAB4A,RAB6C,24,9.2,93.7
RAB39A,RAB42,24,9.2,93.7
RAB27B,CRACR2A,24,9.2,93.7
RAB9B,RAB6A,24,9.2,93.7
RAB38,RAB1A,24,9.2,93.7
RAB38,RAB17,24,9.2,93.7
RAB38,RAB26,24,9.2,93.7
RAB7A,RAB3D,24,9.2,93.7
RAB28,RAB37,24,9.2,93.7
RAB3C,RAB6D,24,9.2,93.7
RAB28,RAB26,24,9.2,93.7
RAB38,RAB6D,24,9.2,93.7
RAB17,RAB20,24,9.2,93.7
RAB32,RAB42,24,9.2,93.7
RAB32,RAB4A,24,9.2,93.7
RAB14,RAB13,24,9.2,93.7
RAB9B,RAB9A,24,9.2,93.7
RAB32,RAB1A,24,9.2,93.7
RAB32,RAB17,24,9.2,93.7
RAB32,RAB43,24,9.2,93.7
RAB17,RAB8A,24,9.2,93.7
RAB17,RAB37,24,9.2,93.7
RAB17,RAB26,24,9.2,93.7
RAB13,RAB31,24,9.2,93.7
RAB13,RAB24,24,9.2,93.7
RAB13,RAB3C,24,9.2,93.7
RAB40B,RAB11B,24,9.2,93.7
RAB13,RAB39A,24,9.2,93.7
RAB21,RAB14,24,9.2,93.7
RAB27A,RAB24,24,9.2,93.7
RAB4B,RAB6C,24,9.2,93.7
RAB4B,RAB6D,24,9.2,93.7
RAB26,RAB42,24,9.2,93.7
RAB26,RAB6C,24,9.2,93.7
RAB26,RAB6D,24,9.2,93.7
RAB2B,RAB33A,24,9.2,93.7
RAB2B,RAB44,24,9.2,93.7
RAB18,RAB13,24,9.2,93.7
RAB18,RAB30,24,9.2,93.7
RAB4B,RAB3B,24,9.2,93.7
RAB8A,RAB39A,24,9.2,93.7
RAB8A,RAB4A,24,9.2,93.7
RAB26,RAB3B,24,9.2,93.7
RAB4B,RAB39A,24,9.2,93.7
RAB4B,RAB42,24,9.2,93.7
RAB25,RAB20,24,9.2,93.7
RAB25,RAB39A,24,9.2,93.7
RAB23,RAB6C,24,9.2,93.7
RAB33A,RAB15,24,9.2,93.7
RAB33A,RAB19,24,9.2,93.7
RAB33A,RAB41,24,9.2,93.7
RAB25,RAB42,24,9.2,93.7
RAB25,RAB6C,24,9.2,93.7
RAB33A,RAB39B,24,9.2,93.7
RAB18,RAB35,24,9.2,93.7
RAB10,RAB39A,24,9.2,93.7
RAB20,RAB4B,24,9.2,93.7
RAB23,RAB3C,24,9.2,93.7
RAB23,RAB25,24,9.2,93.7
RAB23,RAB24,24,9.2,93.7
RAB23,RAB40A,24,9.2,93.7
RAB23,RAB4B,24,9.2,93.7
RAB23,RAB4A,24,9.2,93.7
RAB2A,RAB8A,24,9.2,93.7
RAB20,RAB13,24,9.2,93.7
RAB20,RAB19,24,9.2,93.7
RAB21,RAB39A,24,9.2,93.7
RAB30,RAB26,24,9.2,93.7
RAB3B,RAB6C,24,9.2,93.7
RAB3B,RAB24,24,9.2,93.7
RAB23,RAB32,24,9.2,93.7
RAB23,RAB38,24,9.2,93.7
RAB35,RAB13,24,9.2,93.7
RAB10,RAB3C,24,9.2,93.7
RAB10,RAB2B,24,9.2,93.7
RAB10,RAB25,24,9.2,93.7
RAB1A,RAB43,24,9.2,93.7
RAB10,RAB4B,24,9.2,93.7
RAB10,RAB4A,24,9.2,93.7
RAB4A,RAB3B,24,9.2,93.7
RAB27A,RAB25,24,9.2,93.7
RAB27A,RAB23,24,9.2,93.7
RAB27B,RAB22A,24,9.2,93.7
RAB3D,RAB40C,24,9.2,93.7
RAB3D,RAB40B,24,9.2,93.7
RAB24,RAB6D,24,9.2,93.7
RAB24,RAB39A,24,9.2,93.7
RAB43,RAB39A,24,9.2,93.7
RAB43,RAB40C,24,9.2,93.7
RAB43,RAB6C,24,9.2,93.7
RAB24,RAB42,24,9.2,93.7
RAB40A,RAB40C,24,9.2,93.7
RAB27B,RAB39A,24,9.2,93.7
RAB27B,RAB3B,24,9.2,93.7
RAB37,RAB42,24,9.2,93.7
RAB38,RAB3C,24,9.2,93.7
RAB36,RAB8B,24,9.2,93.7
RAB36,RAB19,24,9.2,93.7
RAB9B,RAB1B,24,9.2,93.7
RAB7A,RAB6D,23,8.2,89.4
RAB7A,RAB4A,23,8.2,89.4
RAB7A,RAB3B,23,8.2,89.4
RAB7A,RAB43,23,8.2,89.4
RAB7A,RAB8A,23,8.2,89.4
RAB41,RAB39B,23,8.2,89.4
RAB41,RAB8B,23,8.2,89.4
RAB19,RAB41,23,8.2,89.4
RAB21,RAB3C,23,8.2,89.4
RAB36,RAB15,23,8.2,89.4
RAB38,RAB1B,23,8.2,89.4
RAB18,RAB39B,23,8.2,89.4
RAB38,RAB13,23,8.2,89.4
RAB9B,RAB13,23,8.2,89.4
RAB8A,RAB3B,23,8.2,89.4
RAB8A,RAB26,23,8.2,89.4
RAB7A,RAB5A,23,8.2,89.4
RAB7A,CRACR2A,23,8.2,89.4
RAB7A,RAB25,23,8.2,89.4
RAB7A,RAB23,23,8.2,89.4
RAB7A,RAB2A,23,8.2,89.4
RAB7A,RAB34,23,8.2,89.4
RAB28,RAB6C,23,8.2,89.4
RAB28,RAB40A,23,8.2,89.4
RAB38,RAB4A,23,8.2,89.4
RAB18,RAB8B,23,8.2,89.4
RAB2B,RAB8B,23,8.2,89.4
RAB2B,RAB20,23,8.2,89.4
RAB2B,RAB13,23,8.2,89.4
RAB2B,RAB19,23,8.2,89.4
RAB17,RAB6C,23,8.2,89.4
RAB17,RAB43,23,8.2,89.4
RAB21,RAB28,23,8.2,89.4
RAB21,RAB38,23,8.2,89.4
RAB21,RAB17,23,8.2,89.4
RAB21,RAB35,23,8.2,89.4
RAB7A,RAB6C,23,8.2,89.4
RAB13,RAB37,23,8.2,89.4
RAB13,RAB4B,23,8.2,89.4
RAB13,RAB19,23,8.2,89.4
RAB13,RAB28,23,8.2,89.4
RAB17,RAB1A,23,8.2,89.4
RAB17,RAB13,23,8.2,89.4
RAB22A,RAB4A,23,8.2,89.4
RAB22A,RAB33B,23,8.2,89.4
RAB22A,RASEF,23,8.2,89.4
RAB22A,CRACR2A,23,8.2,89.4
RAB3C,RAB26,23,8.2,89.4
RAB7A,RAB40C,23,8.2,89.4
RAB5A,RAB43,23,8.2,89.4
RAB2A,RAB14,23,8.2,89.4
RAB23,RAB5A,23,8.2,89.4
RAB23,RAB17,23,8.2,89.4
RAB35,RAB9B,23,8.2,89.4
RAB5B,RAB1B,23,8.2,89.4
RAB5B,RAB6A,23,8.2,89.4
RAB3B,RAB40A,23,8.2,89.4
RAB3B,RAB43,23,8.2,89.4
RAB3B,RAB37,23,8.2,89.4
RAB3B,RAB39A,23,8.2,89.4
RAB27A,RAB13,23,8.2,89.4
RAB28,RAB43,23,8.2,89.4
RAB4A,RAB40C,23,8.2,89.4
RAB4A,RAB43,23,8.2,89.4
RAB2A,RAB39A,23,8.2,89.4
RAB5B,RAB13,23,8.2,89.4
RAB5B,RAB5A,23,8.2,89.4
RAB5B,RAB14,23,8.2,89.4
RAB5B,RAB9A,23,8.2,89.4
RAB34,RAB6C,23,8.2,89.4
RAB34,RAB6D,23,8.2,89.4
RAB34,RAB11B,23,8.2,89.4
RAB5C,RAB39B,23,8.2,89.4
RAB3D,RAB43,23,8.2,89.4
RAB27A,RAB10,23,8.2,89.4
RAB39B,RAB8B,23,8.2,89.4
RAB14,RAB24,23,8.2,89.4
RAB32,RAB40C,23,8.2,89.4
RAB32,RAB40A,23,8.2,89.4
RAB32,RAB4B,23,8.2,89.4
RAB32,RAB26,23,8.2,89.4
RAB32,RAB3C,23,8.2,89.4
RAB27A,RAB4B,23,8.2,89.4
RAB4B,RAB40C,23,8.2,89.4
RAB26,RAB4A,23,8.2,89.4
RAB8A,RAB6D,23,8.2,89.4
RAB2A,RAB29,23,8.2,89.4
RAB29,RAB6C,23,8.2,89.4
RAB29,RAB26,23,8.2,89.4
RAB29,RAB4A,23,8.2,89.4
RAB23,RAB6D,23,8.2,89.4
RAB23,RAB3B,23,8.2,89.4
RAB23,RAB28,23,8.2,89.4
RAB23,RAB8A,23,8.2,89.4
RAB2A,RAB1A,23,8.2,89.4
RAB2A,RAB5A,23,8.2,89.4
RAB2A,RAB17,23,8.2,89.4
RAB2A,RAB5B,23,8.2,89.4
RAB2A,RAB23,23,8.2,89.4
RAB32,RAB25,23,8.2,89.4
RAB30,RAB13,23,8.2,89.4
RAB3D,RAB28,23,8.2,89.4
RAB27A,RAB21,23,8.2,89.4
RAB20,RAB4A,23,8.2,89.4
RAB20,RAB8B,23,8.2,89.4
RAB20,RAB42,23,8.2,89.4
RAB3D,RAB4A,23,8.2,89.4
RAB20,RAB39A,23,8.2,89.4
RAB15,RAB8B,23,8.2,89.4
RAB21,RAB24,23,8.2,89.4
RAB3D,RAB17,23,8.2,89.4
RAB21,RAB31,23,8.2,89.4
RAB3D,RAB25,23,8.2,89.4
RAB3D,RAB42,23,8.2,89.4
RAB3B,RAB40C,23,8.2,89.4
RAB21,RAB42,23,8.2,89.4
RAB40C,RAB6D,23,8.2,89.4
RAB39A,RAB6D,23,8.2,89.4
RAB10,RAB35,23,8.2,89.4
RAB10,RAB5B,23,8.2,89.4
RAB10,RAB2A,23,8.2,89.4
RAB27B,RAB17,23,8.2,89.4
RAB13,RAB5A,23,8.2,89.4
RAB27B,RAB23,23,8.2,89.4
RAB30,RAB43,23,8.2,89.4
