gene,targetId,rank,disease,diseaseId,otrec_score
RAB10,ENSG00000084733,1,high grade ovarian serous adenocarcinoma,EFO_1001958,0.986
RAB10,ENSG00000084733,2,oral cavity mucoepidermoid carcinoma,MONDO_0044964,0.979
RAB10,ENSG00000084733,3,acute myeloblastic leukemia with maturation,EFO_0003028,0.979
RAB10,ENSG00000084733,4,upper aerodigestive tract neoplasm,EFO_0004284,0.975
RAB10,ENSG00000084733,5,anus cancer,MONDO_0001879,0.968
RAB11A,ENSG00000103769,1,drug toxicity,EFO_0020003,0.837
RAB11A,ENSG00000103769,2,lip and oral cavity squamous cell carcinoma,MONDO_0044710,0.796
RAB11A,ENSG00000103769,3,peritoneal neoplasm,EFO_1001100,0.792
RAB11A,ENSG00000103769,4,refractory hematologic cancer,MONDO_0004111,0.759
RAB11A,ENSG00000103769,5,upper aerodigestive tract neoplasm,EFO_0004284,0.633
RAB11B,ENSG00000185236,1,drug toxicity,EFO_0020003,0.914
RAB11B,ENSG00000185236,2,incomplete abortion,EFO_1001799,0.819
RAB11B,ENSG00000185236,3,Rh isoimmunization,EFO_1001159,0.775
RAB11B,ENSG00000185236,4,peritoneal neoplasm,EFO_1001100,0.773
RAB11B,ENSG00000185236,5,HIV-Associated Lipodystrophy Syndrome,EFO_1001348,0.75
RAB13,ENSG00000143545,1,high grade ovarian serous adenocarcinoma,EFO_1001958,0.986
RAB13,ENSG00000143545,2,upper aerodigestive tract neoplasm,EFO_0004284,0.981
RAB13,ENSG00000143545,3,oral cavity mucoepidermoid carcinoma,MONDO_0044964,0.978
RAB13,ENSG00000143545,4,acute myeloblastic leukemia with maturation,EFO_0003028,0.975
RAB13,ENSG00000143545,5,peritoneal neoplasm,EFO_1001100,0.975
RAB14,ENSG00000119396,1,upper aerodigestive tract neoplasm,EFO_0004284,0.991
RAB14,ENSG00000119396,2,high grade ovarian serous adenocarcinoma,EFO_1001958,0.988
RAB14,ENSG00000119396,3,acute myeloblastic leukemia with maturation,EFO_0003028,0.986
RAB14,ENSG00000119396,4,lip and oral cavity squamous cell carcinoma,MONDO_0044710,0.982
RAB14,ENSG00000119396,5,anus cancer,MONDO_0001879,0.981
RAB15,ENSG00000139998,1,oral cavity mucoepidermoid carcinoma,MONDO_0044964,0.993
RAB15,ENSG00000139998,2,high grade ovarian serous adenocarcinoma,EFO_1001958,0.993
RAB15,ENSG00000139998,3,anus cancer,MONDO_0001879,0.991
RAB15,ENSG00000139998,4,upper aerodigestive tract neoplasm,EFO_0004284,0.991
RAB15,ENSG00000139998,5,peritoneal neoplasm,EFO_1001100,0.99
RAB17,ENSG00000124839,1,high grade ovarian serous adenocarcinoma,EFO_1001958,0.966
RAB17,ENSG00000124839,2,oral cavity mucoepidermoid carcinoma,MONDO_0044964,0.949
RAB17,ENSG00000124839,3,peritoneal neoplasm,EFO_1001100,0.947
RAB17,ENSG00000124839,4,acute myeloblastic leukemia with maturation,EFO_0003028,0.945
RAB17,ENSG00000124839,5,upper aerodigestive tract neoplasm,EFO_0004284,0.934
RAB18,ENSG00000099246,1,high grade ovarian serous adenocarcinoma,EFO_1001958,0.994
RAB18,ENSG00000099246,2,Proteus syndrome,MONDO_0008318,0.983
RAB18,ENSG00000099246,3,acute myeloblastic leukemia with maturation,EFO_0003028,0.981
RAB18,ENSG00000099246,4,anus cancer,MONDO_0001879,0.98
RAB18,ENSG00000099246,5,oral cavity mucoepidermoid carcinoma,MONDO_0044964,0.98
RAB19,ENSG00000146955,1,oral cavity mucoepidermoid carcinoma,MONDO_0044964,0.991
RAB19,ENSG00000146955,2,high grade ovarian serous adenocarcinoma,EFO_1001958,0.989
RAB19,ENSG00000146955,3,acute myeloblastic leukemia with maturation,EFO_0003028,0.988
RAB19,ENSG00000146955,4,peritoneal neoplasm,EFO_1001100,0.987
RAB19,ENSG00000146955,5,lethal midline granuloma,EFO_1001013,0.986
RAB1A,ENSG00000138069,1,high grade ovarian serous adenocarcinoma,EFO_1001958,0.962
RAB1A,ENSG00000138069,2,lip and oral cavity squamous cell carcinoma,MONDO_0044710,0.958
RAB1A,ENSG00000138069,3,peritoneal neoplasm,EFO_1001100,0.945
RAB1A,ENSG00000138069,4,upper aerodigestive tract neoplasm,EFO_0004284,0.924
RAB1A,ENSG00000138069,5,oral cavity mucoepidermoid carcinoma,MONDO_0044964,0.896
RAB1B,ENSG00000174903,1,high grade ovarian serous adenocarcinoma,EFO_1001958,0.987
RAB1B,ENSG00000174903,2,peritoneal neoplasm,EFO_1001100,0.973
RAB1B,ENSG00000174903,3,lip and oral cavity squamous cell carcinoma,MONDO_0044710,0.968
RAB1B,ENSG00000174903,4,oral cavity mucoepidermoid carcinoma,MONDO_0044964,0.966
RAB1B,ENSG00000174903,5,upper aerodigestive tract neoplasm,EFO_0004284,0.956
RAB20,ENSG00000139832,1,high grade ovarian serous adenocarcinoma,EFO_1001958,0.982
RAB20,ENSG00000139832,2,acute myeloblastic leukemia with maturation,EFO_0003028,0.981
RAB20,ENSG00000139832,3,oral cavity mucoepidermoid carcinoma,MONDO_0044964,0.98
RAB20,ENSG00000139832,4,lethal midline granuloma,EFO_1001013,0.975
RAB20,ENSG00000139832,5,upper aerodigestive tract neoplasm,EFO_0004284,0.973
RAB21,ENSG00000080371,1,high grade ovarian serous adenocarcinoma,EFO_1001958,0.961
RAB21,ENSG00000080371,2,upper aerodigestive tract neoplasm,EFO_0004284,0.958
RAB21,ENSG00000080371,3,acute myeloblastic leukemia with maturation,EFO_0003028,0.956
RAB21,ENSG00000080371,4,oral cavity mucoepidermoid carcinoma,MONDO_0044964,0.948
RAB21,ENSG00000080371,5,lip and oral cavity squamous cell carcinoma,MONDO_0044710,0.942
RAB22A,ENSG00000124209,1,lip and oral cavity squamous cell carcinoma,MONDO_0044710,0.914
RAB22A,ENSG00000124209,2,adult glioblastoma,MONDO_0020690,0.882
RAB22A,ENSG00000124209,3,peritoneal neoplasm,EFO_1001100,0.873
RAB22A,ENSG00000124209,4,upper aerodigestive tract neoplasm,EFO_0004284,0.866
RAB22A,ENSG00000124209,5,high grade ovarian serous adenocarcinoma,EFO_1001958,0.835
RAB23,ENSG00000112210,1,high grade ovarian serous adenocarcinoma,EFO_1001958,0.988
RAB23,ENSG00000112210,2,upper aerodigestive tract neoplasm,EFO_0004284,0.983
RAB23,ENSG00000112210,3,oral cavity mucoepidermoid carcinoma,MONDO_0044964,0.972
RAB23,ENSG00000112210,4,acute myeloblastic leukemia with maturation,EFO_0003028,0.965
RAB23,ENSG00000112210,5,lethal midline granuloma,EFO_1001013,0.953
RAB24,ENSG00000169228,1,acute myeloblastic leukemia with maturation,EFO_0003028,0.975
RAB24,ENSG00000169228,2,high grade ovarian serous adenocarcinoma,EFO_1001958,0.967
RAB24,ENSG00000169228,3,lethal midline granuloma,EFO_1001013,0.967
RAB24,ENSG00000169228,4,oral cavity mucoepidermoid carcinoma,MONDO_0044964,0.961
