gene_acronym,gene_name,gene_entrez_id,age_in_days,age,donor_sex,structure_name,expression_energy
Neurog2,neurogenin 2,11924,11.5,E11.5,unknown,rostral secondary prosencephalon,3.26463
Calb2,calbindin 2,12308,11.5,E11.5,unknown,rostral secondary prosencephalon,0.12714
Drd4,dopamine receptor D4,13491,11.5,E11.5,unknown,rostral secondary prosencephalon,0.00397721
Efnb3,ephrin B3,13643,11.5,E11.5,unknown,rostral secondary prosencephalon,0.454246
Chl1,cell adhesion molecule with homology to L1CAM,12661,11.5,E11.5,unknown,rostral secondary prosencephalon,0.325778
Cdh8,cadherin 8,12564,11.5,E11.5,unknown,rostral secondary prosencephalon,0.384252
Bche,butyrylcholinesterase,12038,11.5,E11.5,unknown,rostral secondary prosencephalon,0.00511545
Epha4,Eph receptor A4,13838,11.5,E11.5,unknown,rostral secondary prosencephalon,0.831785
Enc1,ectodermal-neural cortex 1,13803,11.5,E11.5,unknown,rostral secondary prosencephalon,0.749562
En1,engrailed 1,13798,11.5,E11.5,unknown,rostral secondary prosencephalon,0.115817
Evx1,even skipped homeotic gene 1 homolog,14028,11.5,E11.5,unknown,rostral secondary prosencephalon,0.382076
Egr2,early growth response 2,13654,11.5,E11.5,unknown,rostral secondary prosencephalon,0.0273555
Arx,aristaless related homeobox,11878,11.5,E11.5,unknown,rostral secondary prosencephalon,0.444974
Evx1,even skipped homeotic gene 1 homolog,14028,11.5,E11.5,unknown,rostral secondary prosencephalon,0.0745014
Eomes,eomesodermin homolog (Xenopus laevis),13813,11.5,E11.5,unknown,rostral secondary prosencephalon,0.0471768
Gbx2,gastrulation brain homeobox 2,14472,11.5,E11.5,unknown,rostral secondary prosencephalon,0.246511
Gabrb2,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 2",14401,11.5,E11.5,unknown,rostral secondary prosencephalon,0.012902
Cdh4,cadherin 4,12561,11.5,E11.5,unknown,rostral secondary prosencephalon,0.0524096
Avp,arginine vasopressin,11998,11.5,E11.5,unknown,rostral secondary prosencephalon,0.551405
Dbx1,developing brain homeobox 1,13172,11.5,E11.5,unknown,rostral secondary prosencephalon,0.71698
Dll1,delta-like 1 (Drosophila),13388,11.5,E11.5,unknown,rostral secondary prosencephalon,1.81356
Adam19,a disintegrin and metallopeptidase domain 19 (meltrin beta),11492,11.5,E11.5,unknown,rostral secondary prosencephalon,0.354612
Gli1,GLI-Kruppel family member GLI1,14632,11.5,E11.5,unknown,rostral secondary prosencephalon,1.3376
Etv1,ets variant 1,14009,11.5,E11.5,unknown,rostral secondary prosencephalon,0.0615132
Neurog2,neurogenin 2,11924,11.5,E11.5,unknown,rostral secondary prosencephalon,1.70513
Ddc,dopa decarboxylase,13195,11.5,E11.5,unknown,rostral secondary prosencephalon,0.0549026
Calb1,calbindin 1,12307,11.5,E11.5,unknown,rostral secondary prosencephalon,0.211314
Chat,choline acetyltransferase,12647,11.5,E11.5,unknown,rostral secondary prosencephalon,0.0331466
Gli3,GLI-Kruppel family member GLI3,14634,11.5,E11.5,unknown,rostral secondary prosencephalon,0.17708
Calb2,calbindin 2,12308,11.5,E11.5,unknown,rostral secondary prosencephalon,0.0170208
Arx,aristaless related homeobox,11878,11.5,E11.5,unknown,telencephalic vesicle,1.785
Gabrb2,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 2",14401,11.5,E11.5,unknown,telencephalic vesicle,0.144933
Chat,choline acetyltransferase,12647,11.5,E11.5,unknown,telencephalic vesicle,0.0374973
Efnb3,ephrin B3,13643,11.5,E11.5,unknown,telencephalic vesicle,0.265554
Cdh8,cadherin 8,12564,11.5,E11.5,unknown,telencephalic vesicle,0.858257
Drd4,dopamine receptor D4,13491,11.5,E11.5,unknown,telencephalic vesicle,0.0106629
Chl1,cell adhesion molecule with homology to L1CAM,12661,11.5,E11.5,unknown,telencephalic vesicle,0.170667
Avp,arginine vasopressin,11998,11.5,E11.5,unknown,telencephalic vesicle,0.119351
Cdh4,cadherin 4,12561,11.5,E11.5,unknown,telencephalic vesicle,0.0926577
Neurog2,neurogenin 2,11924,11.5,E11.5,unknown,telencephalic vesicle,1.32498
Bche,butyrylcholinesterase,12038,11.5,E11.5,unknown,telencephalic vesicle,0.00590716
Etv1,ets variant 1,14009,11.5,E11.5,unknown,telencephalic vesicle,0.086153
Calb2,calbindin 2,12308,11.5,E11.5,unknown,telencephalic vesicle,1.02324
Epha4,Eph receptor A4,13838,11.5,E11.5,unknown,telencephalic vesicle,0.870143
Dbx1,developing brain homeobox 1,13172,11.5,E11.5,unknown,telencephalic vesicle,0.209308
En1,engrailed 1,13798,11.5,E11.5,unknown,telencephalic vesicle,0.508625
Calb1,calbindin 1,12307,11.5,E11.5,unknown,telencephalic vesicle,0.102907
Adam19,a disintegrin and metallopeptidase domain 19 (meltrin beta),11492,11.5,E11.5,unknown,telencephalic vesicle,0.597143
Evx1,even skipped homeotic gene 1 homolog,14028,11.5,E11.5,unknown,telencephalic vesicle,0.63763
Egr2,early growth response 2,13654,11.5,E11.5,unknown,telencephalic vesicle,0.0878693
Gli3,GLI-Kruppel family member GLI3,14634,11.5,E11.5,unknown,telencephalic vesicle,1.16807
Ddc,dopa decarboxylase,13195,11.5,E11.5,unknown,telencephalic vesicle,0.185223
Dll1,delta-like 1 (Drosophila),13388,11.5,E11.5,unknown,telencephalic vesicle,4.25336
Enc1,ectodermal-neural cortex 1,13803,11.5,E11.5,unknown,telencephalic vesicle,2.31741
Gli1,GLI-Kruppel family member GLI1,14632,11.5,E11.5,unknown,telencephalic vesicle,1.26634
Evx1,even skipped homeotic gene 1 homolog,14028,11.5,E11.5,unknown,telencephalic vesicle,0.155872
Neurog2,neurogenin 2,11924,11.5,E11.5,unknown,telencephalic vesicle,6.67842
Eomes,eomesodermin homolog (Xenopus laevis),13813,11.5,E11.5,unknown,telencephalic vesicle,6.13813
Gbx2,gastrulation brain homeobox 2,14472,11.5,E11.5,unknown,telencephalic vesicle,0.381377
Calb2,calbindin 2,12308,11.5,E11.5,unknown,telencephalic vesicle,0.120069
Drd4,dopamine receptor D4,13491,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.0136606
Chat,choline acetyltransferase,12647,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.0416607
Epha4,Eph receptor A4,13838,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.269744
Dll1,delta-like 1 (Drosophila),13388,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,1.30838
Gabrb2,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 2",14401,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.0142191
Adam19,a disintegrin and metallopeptidase domain 19 (meltrin beta),11492,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.0432685
Calb1,calbindin 1,12307,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.125706
Arx,aristaless related homeobox,11878,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,2.7141
Calb2,calbindin 2,12308,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.0873154
Efnb3,ephrin B3,13643,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.317018
Gli3,GLI-Kruppel family member GLI3,14634,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.314638
Calb2,calbindin 2,12308,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.129169
Ddc,dopa decarboxylase,13195,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.0283935
Etv1,ets variant 1,14009,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.0602323
Neurog2,neurogenin 2,11924,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,1.24924
Neurog2,neurogenin 2,11924,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,8.19077
Gli1,GLI-Kruppel family member GLI1,14632,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.488339
Dbx1,developing brain homeobox 1,13172,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,5.56926
Cdh4,cadherin 4,12561,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.0410343
Avp,arginine vasopressin,11998,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.52881
Gbx2,gastrulation brain homeobox 2,14472,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.120967
Eomes,eomesodermin homolog (Xenopus laevis),13813,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.189423
Evx1,even skipped homeotic gene 1 homolog,14028,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.0253864
Egr2,early growth response 2,13654,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.0269161
Evx1,even skipped homeotic gene 1 homolog,14028,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.421752
En1,engrailed 1,13798,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.14263
Bche,butyrylcholinesterase,12038,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.00587875
Cdh8,cadherin 8,12564,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.936322
Enc1,ectodermal-neural cortex 1,13803,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,2.93144
Chl1,cell adhesion molecule with homology to L1CAM,12661,11.5,E11.5,unknown,peduncular (caudal) hypothalamus,0.348985
Gli3,GLI-Kruppel family member GLI3,14634,11.5,E11.5,unknown,prosomere 3,0.144922
Neurog2,neurogenin 2,11924,11.5,E11.5,unknown,prosomere 3,0.471745
Egr2,early growth response 2,13654,11.5,E11.5,unknown,prosomere 3,0.0224341
Gabrb2,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 2",14401,11.5,E11.5,unknown,prosomere 3,0.0241607
Chl1,cell adhesion molecule with homology to L1CAM,12661,11.5,E11.5,unknown,prosomere 3,0.542174
Drd4,dopamine receptor D4,13491,11.5,E11.5,unknown,prosomere 3,0.0124635
Gli1,GLI-Kruppel family member GLI1,14632,11.5,E11.5,unknown,prosomere 3,0.430384
Cdh8,cadherin 8,12564,11.5,E11.5,unknown,prosomere 3,0.969543
Bche,butyrylcholinesterase,12038,11.5,E11.5,unknown,prosomere 3,0.00625472
Eomes,eomesodermin homolog (Xenopus laevis),13813,11.5,E11.5,unknown,prosomere 3,2.48454
Neurog2,neurogenin 2,11924,11.5,E11.5,unknown,prosomere 3,15.2034
Avp,arginine vasopressin,11998,11.5,E11.5,unknown,prosomere 3,0.198926
Dbx1,developing brain homeobox 1,13172,11.5,E11.5,unknown,prosomere 3,2.237
Arx,aristaless related homeobox,11878,11.5,E11.5,unknown,prosomere 3,6.36781
Enc1,ectodermal-neural cortex 1,13803,11.5,E11.5,unknown,prosomere 3,2.09504
Dll1,delta-like 1 (Drosophila),13388,11.5,E11.5,unknown,prosomere 3,2.88917
Calb1,calbindin 1,12307,11.5,E11.5,unknown,prosomere 3,0.0618086
Cdh4,cadherin 4,12561,11.5,E11.5,unknown,prosomere 3,0.0244171
Efnb3,ephrin B3,13643,11.5,E11.5,unknown,prosomere 3,0.203239
Ddc,dopa decarboxylase,13195,11.5,E11.5,unknown,prosomere 3,0.0390468
Epha4,Eph receptor A4,13838,11.5,E11.5,unknown,prosomere 3,0.0479773
Gbx2,gastrulation brain homeobox 2,14472,11.5,E11.5,unknown,prosomere 3,0.503134
En1,engrailed 1,13798,11.5,E11.5,unknown,prosomere 3,0.0784833
Evx1,even skipped homeotic gene 1 homolog,14028,11.5,E11.5,unknown,prosomere 3,0.0102478
Evx1,even skipped homeotic gene 1 homolog,14028,11.5,E11.5,unknown,prosomere 3,0.219437
Adam19,a disintegrin and metallopeptidase domain 19 (meltrin beta),11492,11.5,E11.5,unknown,prosomere 3,0.0916354
Calb2,calbindin 2,12308,11.5,E11.5,unknown,prosomere 3,0.0316575
Calb2,calbindin 2,12308,11.5,E11.5,unknown,prosomere 3,0.458377
Etv1,ets variant 1,14009,11.5,E11.5,unknown,prosomere 3,0.0182111
Chat,choline acetyltransferase,12647,11.5,E11.5,unknown,prosomere 3,0.0455771
Egr2,early growth response 2,13654,11.5,E11.5,unknown,prosomere 2,0.0431657
Gbx2,gastrulation brain homeobox 2,14472,11.5,E11.5,unknown,prosomere 2,4.39086
Efnb3,ephrin B3,13643,11.5,E11.5,unknown,prosomere 2,0.365923
Dll1,delta-like 1 (Drosophila),13388,11.5,E11.5,unknown,prosomere 2,4.05671
Arx,aristaless related homeobox,11878,11.5,E11.5,unknown,prosomere 2,1.41438
Evx1,even skipped homeotic gene 1 homolog,14028,11.5,E11.5,unknown,prosomere 2,0.0314447
Eomes,eomesodermin homolog (Xenopus laevis),13813,11.5,E11.5,unknown,prosomere 2,0.23165
Cdh8,cadherin 8,12564,11.5,E11.5,unknown,prosomere 2,1.12507
Gli3,GLI-Kruppel family member GLI3,14634,11.5,E11.5,unknown,prosomere 2,0.718352
Calb2,calbindin 2,12308,11.5,E11.5,unknown,prosomere 2,0.0727118
Ddc,dopa decarboxylase,13195,11.5,E11.5,unknown,prosomere 2,0.0796676
Neurog2,neurogenin 2,11924,11.5,E11.5,unknown,prosomere 2,0.0165787
Chl1,cell adhesion molecule with homology to L1CAM,12661,11.5,E11.5,unknown,prosomere 2,0.141146
Drd4,dopamine receptor D4,13491,11.5,E11.5,unknown,prosomere 2,0.0120905
Neurog2,neurogenin 2,11924,11.5,E11.5,unknown,prosomere 2,14.1884
Calb1,calbindin 1,12307,11.5,E11.5,unknown,prosomere 2,0.0789968
Enc1,ectodermal-neural cortex 1,13803,11.5,E11.5,unknown,prosomere 2,1.94434
Dbx1,developing brain homeobox 1,13172,11.5,E11.5,unknown,prosomere 2,1.7913
Bche,butyrylcholinesterase,12038,11.5,E11.5,unknown,prosomere 2,0.00908406
Gli1,GLI-Kruppel family member GLI1,14632,11.5,E11.5,unknown,prosomere 2,0.647245
Chat,choline acetyltransferase,12647,11.5,E11.5,unknown,prosomere 2,0.0636219
Gabrb2,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 2",14401,11.5,E11.5,unknown,prosomere 2,0.0789789
Etv1,ets variant 1,14009,11.5,E11.5,unknown,prosomere 2,0.0177573
Calb2,calbindin 2,12308,11.5,E11.5,unknown,prosomere 2,0.0507823
En1,engrailed 1,13798,11.5,E11.5,unknown,prosomere 2,0.0658408
Adam19,a disintegrin and metallopeptidase domain 19 (meltrin beta),11492,11.5,E11.5,unknown,prosomere 2,0.0693021
Cdh4,cadherin 4,12561,11.5,E11.5,unknown,prosomere 2,0.0313379
Epha4,Eph receptor A4,13838,11.5,E11.5,unknown,prosomere 2,0.0711537
