ensembl_gene_id,gene_symbol,druggability_tier,small_mol_druggable,bio_druggable,adme_gene
ENSG00000000938,FGR,Tier 1,Y,N,N
ENSG00000001626,CFTR,Tier 1,Y,N,Y
ENSG00000001630,CYP51A1,Tier 1,Y,N,Y
ENSG00000002549,LAP3,Tier 1,Y,N,N
ENSG00000004468,CD38,Tier 1,N,Y,N
ENSG00000004478,FKBP4,Tier 1,Y,N,N
ENSG00000004660,CAMKK1,Tier 1,Y,N,N
ENSG00000004700,RECQL,Tier 1,Y,N,N
ENSG00000004809,SLC22A16,Tier 1,Y,N,Y
ENSG00000004846,ABCB5,Tier 1,Y,N,Y
ENSG00000004948,CALCR,Tier 1,Y,Y,N
ENSG00000005381,MPO,Tier 1,Y,Y,Y
ENSG00000005421,PON1,Tier 1,N,Y,Y
ENSG00000005471,ABCB4,Tier 1,N,Y,Y
ENSG00000005844,ITGAL,Tier 1,Y,Y,N
ENSG00000005961,ITGA2B,Tier 1,Y,Y,N
ENSG00000006071,ABCC8,Tier 1,Y,Y,Y
ENSG00000006283,CACNA1G,Tier 1,Y,N,N
ENSG00000006327,TNFRSF12A,Tier 1,N,Y,N
ENSG00000006432,MAP3K9,Tier 1,Y,N,N
ENSG00000006638,TBXA2R,Tier 1,Y,N,N
ENSG00000007047,MARK4,Tier 1,Y,N,N
ENSG00000007171,NOS2,Tier 1,Y,N,Y
ENSG00000007216,SLC13A2,Tier 1,N,N,Y
ENSG00000007264,MATK,Tier 1,Y,N,N
ENSG00000007312,CD79B,Tier 1,N,Y,N
ENSG00000007314,SCN4A,Tier 1,Y,N,N
ENSG00000007402,CACNA2D2,Tier 1,Y,N,N
ENSG00000007908,SELE,Tier 1,Y,Y,N
ENSG00000007933,FMO3,Tier 1,N,N,Y
ENSG00000008018,PSMB1,Tier 1,Y,N,N
ENSG00000008086,CDKL5,Tier 1,Y,N,N
ENSG00000008394,MGST1,Tier 1,N,N,Y
ENSG00000010310,GIPR,Tier 1,Y,Y,N
ENSG00000010322,NISCH,Tier 1,Y,N,N
ENSG00000010610,CD4,Tier 1,N,Y,N
ENSG00000010671,BTK,Tier 1,Y,N,N
ENSG00000010810,FYN,Tier 1,Y,N,N
ENSG00000010932,FMO1,Tier 1,N,N,Y
ENSG00000011566,MAP4K3,Tier 1,Y,N,N
ENSG00000011677,GABRA3,Tier 1,Y,Y,N
ENSG00000012124,CD22,Tier 1,N,Y,N
ENSG00000012504,NR1H4,Tier 1,Y,N,N
ENSG00000012779,ALOX5,Tier 1,Y,N,N
ENSG00000012983,MAP4K5,Tier 1,Y,N,N
ENSG00000013441,CLK1,Tier 1,Y,N,N
ENSG00000013725,CD6,Tier 1,N,Y,N
ENSG00000015413,DPEP1,Tier 1,Y,Y,Y
ENSG00000015520,NPC1L1,Tier 1,Y,N,N
ENSG00000016490,CLCA1,Tier 1,Y,Y,N
ENSG00000016602,CLCA4,Tier 1,Y,Y,N
ENSG00000017427,IGF1,Tier 1,N,Y,N
ENSG00000018625,ATP1A2,Tier 1,Y,N,N
ENSG00000019186,CYP24A1,Tier 1,Y,N,Y
ENSG00000019582,CD74,Tier 1,N,Y,N
ENSG00000019991,HGF,Tier 1,Y,Y,N
ENSG00000021461,CYP3A43,Tier 1,Y,N,Y
ENSG00000021826,CPS1,Tier 1,Y,N,N
ENSG00000022355,GABRA1,Tier 1,Y,Y,N
ENSG00000023445,BIRC3,Tier 1,Y,N,N
ENSG00000023839,ABCC2,Tier 1,Y,Y,Y
ENSG00000026025,VIM,Tier 1,N,Y,N
ENSG00000026508,CD44,Tier 1,N,Y,N
ENSG00000026751,SLAMF7,Tier 1,N,Y,N
ENSG00000027075,PRKCH,Tier 1,Y,N,N
ENSG00000027697,IFNGR1,Tier 1,N,Y,N
ENSG00000028116,VRK2,Tier 1,Y,N,N
ENSG00000030304,MUSK,Tier 1,Y,Y,N
ENSG00000034152,MAP2K3,Tier 1,Y,N,N
ENSG00000035664,DAPK2,Tier 1,Y,N,N
ENSG00000036530,CYP46A1,Tier 1,Y,N,Y
ENSG00000036828,CASR,Tier 1,Y,Y,N
ENSG00000037280,FLT4,Tier 1,Y,Y,N
ENSG00000041982,TNC,Tier 1,N,Y,N
ENSG00000042088,TDP1,Tier 1,Y,N,N
ENSG00000043591,ADRB1,Tier 1,Y,Y,N
ENSG00000044524,EPHA3,Tier 1,Y,Y,N
ENSG00000047936,ROS1,Tier 1,Y,N,N
ENSG00000048052,HDAC9,Tier 1,Y,N,N
ENSG00000049249,TNFRSF9,Tier 1,N,Y,N
ENSG00000049319,SRD5A2,Tier 1,Y,N,N
ENSG00000050555,LAMC3,Tier 1,N,Y,N
ENSG00000050628,PTGER3,Tier 1,Y,N,N
ENSG00000050748,MAPK9,Tier 1,Y,N,N
ENSG00000051382,PIK3CB,Tier 1,Y,N,N
ENSG00000053747,LAMA3,Tier 1,N,Y,N
ENSG00000053918,KCNQ1,Tier 1,Y,N,N
ENSG00000055118,KCNH2,Tier 1,Y,N,N
ENSG00000057593,F7,Tier 1,Y,Y,N
ENSG00000058085,LAMC2,Tier 1,N,Y,N
ENSG00000058404,CAMK2B,Tier 1,Y,N,N
ENSG00000058729,RIOK2,Tier 1,Y,N,N
ENSG00000059377,TBXAS1,Tier 1,Y,N,N
ENSG00000061273,HDAC7,Tier 1,Y,N,N
ENSG00000061918,GUCY1B3,Tier 1,Y,N,N
ENSG00000061938,TNK2,Tier 1,Y,N,N
ENSG00000062038,CDH3,Tier 1,N,Y,N
ENSG00000062524,LTK,Tier 1,Y,N,N
ENSG00000062822,POLD1,Tier 1,Y,N,N
ENSG00000063854,HAGH,Tier 1,N,N,Y
ENSG00000064012,CASP8,Tier 1,Y,N,N
ENSG00000064300,NGFR,Tier 1,Y,Y,N
ENSG00000064393,HIPK2,Tier 1,Y,N,N
ENSG00000064547,LPAR2,Tier 1,Y,N,N
ENSG00000064989,CALCRL,Tier 1,Y,Y,N
ENSG00000065243,PKN2,Tier 1,Y,N,N
ENSG00000065325,GLP2R,Tier 1,N,Y,N
ENSG00000065361,ERBB3,Tier 1,Y,Y,N
ENSG00000065534,MYLK,Tier 1,Y,N,N
ENSG00000065559,MAP2K4,Tier 1,Y,N,N
ENSG00000065613,SLK,Tier 1,Y,N,N
ENSG00000065621,GSTO2,Tier 1,N,N,Y
ENSG00000065675,PRKCQ,Tier 1,Y,N,N
ENSG00000065883,CDK13,Tier 1,Y,N,N
ENSG00000065989,PDE4A,Tier 1,Y,N,N
ENSG00000066056,TIE1,Tier 1,Y,Y,N
ENSG00000066230,SLC9A3,Tier 1,Y,N,N
ENSG00000066405,CLDN18,Tier 1,N,Y,N
ENSG00000066468,FGFR2,Tier 1,Y,Y,N
ENSG00000067182,TNFRSF1A,Tier 1,Y,Y,N
ENSG00000067225,PKM,Tier 1,Y,N,N
ENSG00000067606,PRKCZ,Tier 1,Y,N,N
ENSG00000067900,ROCK1,Tier 1,Y,N,N
ENSG00000068024,HDAC4,Tier 1,Y,N,N
ENSG00000068078,FGFR3,Tier 1,Y,Y,N
ENSG00000069431,ABCC9,Tier 1,Y,N,Y
ENSG00000069535,MAOB,Tier 1,Y,N,Y
ENSG00000069696,DRD4,Tier 1,Y,N,N
ENSG00000069764,PLA2G10,Tier 1,Y,Y,N
ENSG00000070019,GUCY2C,Tier 1,Y,Y,N
ENSG00000070748,CHAT,Tier 1,Y,N,N
ENSG00000070808,CAMK2A,Tier 1,Y,N,N
ENSG00000070886,EPHA8,Tier 1,Y,N,N
ENSG00000070915,SLC12A3,Tier 1,Y,N,N
ENSG00000071054,MAP4K4,Tier 1,Y,N,N
ENSG00000071242,RPS6KA2,Tier 1,Y,N,N
ENSG00000072062,PRKACA,Tier 1,Y,N,N
ENSG00000072133,RPS6KA6,Tier 1,Y,N,N
ENSG00000072210,ALDH3A2,Tier 1,N,N,Y
ENSG00000072274,TFRC,Tier 1,N,Y,N
ENSG00000072506,HSD17B10,Tier 1,Y,N,N
ENSG00000072518,MARK2,Tier 1,Y,N,N
ENSG00000072694,FCGR2B,Tier 1,N,Y,N
ENSG00000072786,STK10,Tier 1,Y,N,N
ENSG00000073417,PDE8A,Tier 1,Y,N,N
ENSG00000073734,ABCB11,Tier 1,N,N,Y
ENSG00000073737,DHRS9,Tier 1,N,N,Y
ENSG00000073756,PTGS2,Tier 1,Y,N,N
ENSG00000073803,MAP3K13,Tier 1,Y,N,N
ENSG00000074319,TSG101,Tier 1,N,Y,N
ENSG00000074410,CA12,Tier 1,Y,N,N
ENSG00000074590,NUAK1,Tier 1,Y,N,N
ENSG00000074803,SLC12A1,Tier 1,Y,N,N
ENSG00000074966,TXK,Tier 1,Y,N,N
ENSG00000075043,KCNQ2,Tier 1,Y,N,N
ENSG00000075073,TACR2,Tier 1,Y,Y,N
ENSG00000075388,FGF4,Tier 1,Y,Y,N
ENSG00000075413,MARK3,Tier 1,Y,N,N
ENSG00000075651,PLD1,Tier 1,Y,N,N
ENSG00000076258,FMO4,Tier 1,N,N,Y
ENSG00000076662,ICAM3,Tier 1,N,Y,N
ENSG00000076706,MCAM,Tier 1,N,Y,N
ENSG00000076984,MAP2K7,Tier 1,Y,N,N
ENSG00000077092,RARB,Tier 1,Y,N,N
ENSG00000077097,TOP2B,Tier 1,Y,N,N
ENSG00000077238,IL4R,Tier 1,N,Y,N
ENSG00000077264,PAK3,Tier 1,Y,N,N
ENSG00000077498,TYR,Tier 1,Y,N,N
ENSG00000077782,FGFR1,Tier 1,Y,Y,N
ENSG00000078098,FAP,Tier 1,Y,Y,N
ENSG00000079277,MKNK1,Tier 1,Y,N,N
ENSG00000079459,FDFT1,Tier 1,Y,N,N
ENSG00000079999,KEAP1,Tier 1,Y,N,N
ENSG00000080224,EPHA6,Tier 1,Y,N,N
ENSG00000080293,SCTR,Tier 1,N,Y,N
ENSG00000080644,CHRNA3,Tier 1,Y,N,N
ENSG00000080815,PSEN1,Tier 1,Y,N,N
ENSG00000080824,HSP90AA1,Tier 1,Y,N,N
ENSG00000081051,AFP,Tier 1,N,Y,N
ENSG00000081237,PTPRC,Tier 1,Y,Y,N
ENSG00000081248,CACNA1S,Tier 1,Y,N,N
ENSG00000081320,STK17B,Tier 1,Y,N,N
ENSG00000081800,SLC13A1,Tier 1,N,N,Y
ENSG00000082175,PGR,Tier 1,Y,N,N
ENSG00000082482,KCNK2,Tier 1,Y,N,N
ENSG00000082556,OPRK1,Tier 1,Y,N,N
ENSG00000082701,GSK3B,Tier 1,Y,N,N
ENSG00000082781,ITGB5,Tier 1,Y,Y,N
ENSG00000083290,ULK2,Tier 1,Y,N,N
ENSG00000083457,ITGAE,Tier 1,N,Y,N
ENSG00000084207,GSTP1,Tier 1,Y,N,Y
ENSG00000084453,SLCO1A2,Tier 1,N,N,Y
ENSG00000084674,APOB,Tier 1,Y,Y,N
ENSG00000085511,MAP3K4,Tier 1,Y,N,N
ENSG00000085563,ABCB1,Tier 1,Y,Y,Y
ENSG00000085662,AKR1B1,Tier 1,Y,Y,N
ENSG00000085871,MGST2,Tier 1,N,N,Y
ENSG00000086205,FOLH1,Tier 1,Y,Y,N
ENSG00000086548,CEACAM6,Tier 1,N,Y,N
ENSG00000087076,HSD17B14,Tier 1,N,N,Y
ENSG00000087085,ACHE,Tier 1,Y,Y,N
ENSG00000087237,CETP,Tier 1,Y,Y,N
ENSG00000087245,MMP2,Tier 1,Y,Y,N
ENSG00000087494,PTHLH,Tier 1,N,Y,N
ENSG00000087586,AURKA,Tier 1,Y,N,N
ENSG00000088002,SULT2B1,Tier 1,N,N,Y
ENSG00000088386,SLC15A1,Tier 1,Y,N,Y
ENSG00000088832,FKBP1A,Tier 1,Y,N,N
ENSG00000089250,NOS1,Tier 1,Y,N,Y
ENSG00000089597,GANAB,Tier 1,Y,N,N
ENSG00000090020,SLC9A1,Tier 1,Y,N,N
ENSG00000090339,ICAM1,Tier 1,Y,Y,N
ENSG00000090376,IRAK3,Tier 1,Y,N,N
ENSG00000090402,SI,Tier 1,Y,N,N
ENSG00000090534,THPO,Tier 1,Y,Y,N
ENSG00000091128,LAMB4,Tier 1,N,Y,N
ENSG00000091136,LAMB1,Tier 1,N,Y,N
ENSG00000091181,IL5RA,Tier 1,N,Y,N
ENSG00000091262,ABCC6,Tier 1,Y,Y,Y
ENSG00000091436,,Tier 1,Y,N,N
ENSG00000091831,ESR1,Tier 1,Y,N,N
ENSG00000091879,ANGPT2,Tier 1,N,Y,N
ENSG00000091972,CD200,Tier 1,N,Y,N
ENSG00000092009,CMA1,Tier 1,Y,Y,N
ENSG00000092054,MYH7,Tier 1,N,Y,N
ENSG00000092068,SLC7A8,Tier 1,N,N,Y
ENSG00000092096,SLC22A17,Tier 1,Y,N,Y
ENSG00000092445,TYRO3,Tier 1,Y,N,N
ENSG00000092969,TGFB2,Tier 1,N,Y,N
ENSG00000093010,COMT,Tier 1,Y,N,N
ENSG00000094631,HDAC6,Tier 1,Y,N,N
ENSG00000094963,FMO2,Tier 1,N,N,Y
ENSG00000095303,PTGS1,Tier 1,Y,Y,N
ENSG00000095464,PDE6C,Tier 1,Y,N,N
ENSG00000095596,CYP26A1,Tier 1,Y,N,Y
ENSG00000096060,FKBP5,Tier 1,Y,N,N
ENSG00000096063,SRPK1,Tier 1,Y,N,N
ENSG00000096384,HSP90AB1,Tier 1,Y,N,N
ENSG00000096717,SIRT1,Tier 1,Y,N,N
ENSG00000096968,JAK2,Tier 1,Y,N,N
ENSG00000096996,IL12RB1,Tier 1,N,Y,N
ENSG00000097007,ABL1,Tier 1,Y,N,N
ENSG00000099250,NRP1,Tier 1,N,Y,N
ENSG00000099866,MADCAM1,Tier 1,N,Y,N
ENSG00000099875,MKNK2,Tier 1,Y,N,N
ENSG00000100030,MAPK1,Tier 1,Y,N,N
ENSG00000100170,SLC5A1,Tier 1,Y,N,N
ENSG00000100191,SLC5A4,Tier 1,Y,N,N
ENSG00000100197,CYP2D6,Tier 1,Y,N,Y
ENSG00000100243,CYB5R3,Tier 1,N,N,Y
ENSG00000100299,ARSA,Tier 1,N,Y,Y
ENSG00000100346,CACNA1I,Tier 1,Y,N,N
ENSG00000100385,IL2RB,Tier 1,N,Y,N
ENSG00000100429,HDAC10,Tier 1,Y,N,N
ENSG00000100433,KCNK10,Tier 1,Y,N,N
ENSG00000100577,GSTZ1,Tier 1,N,N,Y
ENSG00000100612,DHRS7,Tier 1,N,N,Y
ENSG00000100644,HIF1A,Tier 1,Y,N,N
ENSG00000100652,SLC10A1,Tier 1,Y,N,Y
ENSG00000100739,BDKRB1,Tier 1,Y,Y,N
ENSG00000100784,RPS6KA5,Tier 1,Y,N,N
ENSG00000100804,PSMB5,Tier 1,Y,Y,N
ENSG00000100823,APEX1,Tier 1,Y,N,N
ENSG00000100867,DHRS2,Tier 1,N,N,Y
ENSG00000100983,GSS,Tier 1,N,N,Y
ENSG00000100985,MMP9,Tier 1,Y,Y,N
ENSG00000100997,ABHD12,Tier 1,Y,N,N
ENSG00000101017,CD40,Tier 1,N,Y,N
ENSG00000101076,HNF4A,Tier 1,Y,N,Y
