diseaseId,diseaseName,orphan,known_clinical_targets,comparison_row_count,available_ot_score_count,available_ottree_count
DOID_0050890,,,0.0,201,201,201
DOID_10113,trypanosomiasis,False,11.0,79,79,79
DOID_10718,,,0.0,113,113,113
DOID_13406,pulmonary sarcoidosis,False,34.0,180,180,180
DOID_1947,,,0.0,33,33,33
DOID_7551,gonorrhea,False,4.0,415,415,415
EFO_0000094,B-cell acute lymphoblastic leukemia,False,46.0,306,306,306
EFO_0000095,chronic lymphocytic leukemia,False,354.0,959,959,959
EFO_0000096,neoplasm of mature B-cells,False,177.0,221,221,221
EFO_0000174,Ewing sarcoma,False,42.0,458,458,458
EFO_0000178,gastric carcinoma,False,25.0,736,736,736
EFO_0000180,HIV-1 infection,False,122.0,599,599,599
EFO_0000181,head and neck squamous cell carcinoma,False,216.0,1049,1049,1049
EFO_0000182,hepatocellular carcinoma,False,296.0,1376,1376,1376
EFO_0000183,Hodgkins lymphoma,False,120.0,593,593,593
EFO_0000186,invasive breast ductal carcinoma,False,14.0,639,639,639
EFO_0000191,MALT lymphoma,False,68.0,283,283,283
EFO_0000195,metabolic syndrome,False,117.0,858,858,858
EFO_0000196,metastatic prostate cancer,False,156.0,418,418,418
EFO_0000197,,,0.0,208,208,208
EFO_0000198,myelodysplastic syndrome,False,268.0,692,692,692
EFO_0000199,oral squamous cell carcinoma,False,90.0,978,978,978
EFO_0000200,plasma cell neoplasm,False,74.0,213,213,213
EFO_0000203,monoclonal gammopathy,False,5.0,309,309,309
EFO_0000209,T-cell acute lymphoblastic leukemia,False,67.0,362,362,362
EFO_0000211,unspecified peripheral T-cell lymphoma,False,85.0,146,146,146
EFO_0000216,,,0.0,87,87,87
EFO_0000217,gastritis,False,8.0,359,359,359
EFO_0000218,acute erythroleukemia,False,38.0,209,209,209
EFO_0000220,acute lymphoblastic leukemia,False,230.0,991,991,991
EFO_0000221,acute monocytic leukemia,False,42.0,93,93,93
EFO_0000222,acute myeloid leukemia,False,335.0,1173,1173,1173
EFO_0000223,acute myelomonocytic leukemia,False,40.0,118,118,118
EFO_0000224,acute promyelocytic leukemia,False,60.0,499,499,499
EFO_0000225,,,0.0,77,77,77
EFO_0000228,adenocarcinoma,False,135.0,952,952,952
EFO_0000231,adenoid cystic carcinoma,False,29.0,222,222,222
EFO_0000232,adenoma,False,13.0,743,743,743
EFO_0000233,adenosquamous lung carcinoma,False,73.0,161,161,161
EFO_0000239,adrenal gland pheochromocytoma,False,54.0,186,186,186
